date,symbol,file_path,row_count,first_timestamp_ns,last_timestamp_ns,duration_minutes,min_bid,max_ask,mean_spread,median_spread,min_spread,max_spread,status
2026-03-02,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_02.csv,1089154,1772461800006722381,1772465399996476699,59.9998,249.940000,268.060000,7.53956667,1.52875979,0.38155560,699.61389961,ok
2026-03-03,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_03.csv,1237004,1772548200008076830,1772551799987533217,59.9997,246.540000,264.560000,4.92133701,1.17857353,0.38932472,608.77772534,ok
2026-03-04,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_04.csv,841896,1772634600005116178,1772638199983933248,59.9996,253.310000,269.030000,8.60848418,1.15267132,0.38078556,601.90680400,ok
2026-03-05,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_05.csv,966139,1772721000009868372,1772724599943329253,59.9989,251.190000,266.750000,7.63985573,1.54029805,0.38350175,600.84179635,ok
2026-03-06,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_06.csv,1148151,1772807400019103490,1772810999999932354,59.9997,243.920000,259.050000,8.79411667,1.19786780,0.39532723,601.62633954,ok
2026-03-09,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_09.csv,1188108,1773063000006958107,1773066599923704143,59.9986,237.580000,254.960000,8.52591923,2.03214859,0.40349426,602.82828283,ok
2026-03-10,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_10.csv,941763,1773149400003976269,1773152999995826138,59.9999,245.200000,260.450000,7.51364064,1.18734292,0.39264189,603.18402057,ok
2026-03-11,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_11.csv,794436,1773235800014254575,1773239399993043298,59.9996,244.610000,259.770000,8.54798547,2.76849453,0.39454736,601.13406559,ok
2026-03-12,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_12.csv,1018691,1773322200006483611,1773325799866915019,59.9977,241.440000,256.410000,7.68782322,1.20450485,0.40069721,601.38595963,ok
2026-03-13,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_13.csv,605115,1773408600008990805,1773412199981785105,59.9995,241.680000,256.680000,7.87704273,1.59878492,0.39903434,601.97447628,ok
