date,symbol,file_path,row_count,prefix,processed_quotes,completed_trades,skipped_low_edge,missed_expected_edge_bps,return_intervals,total_net_return_bps,max_drawdown_bps,minute_return_sharpe,trade_sharpe_reference,latency_expired_signals
2026-03-02,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_02.csv,1089154,build/real_quote_symbol_suite/iwm/real_quote_backtest/iwm_2026_03_02_full_heuristic,1089154,367,10725,4.3698,60,58.4226,10.7802,0.3412,2.8702,0
2026-03-03,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_03.csv,1237004,build/real_quote_symbol_suite/iwm/real_quote_backtest/iwm_2026_03_03_full_heuristic,1237004,756,49984,42.6388,60,39.3563,9.3033,0.2306,1.9334,0
2026-03-04,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_04.csv,841896,build/real_quote_symbol_suite/iwm/real_quote_backtest/iwm_2026_03_04_full_heuristic,841896,282,1051,0.0000,60,106.3599,9.9198,0.4240,3.4913,0
2026-03-05,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_05.csv,966139,build/real_quote_symbol_suite/iwm/real_quote_backtest/iwm_2026_03_05_full_heuristic,966139,166,1728,0.0000,60,16.0594,7.9960,0.1447,1.2816,0
2026-03-06,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_06.csv,1148151,build/real_quote_symbol_suite/iwm/real_quote_backtest/iwm_2026_03_06_full_heuristic,1148151,214,1766,0.0000,60,58.5410,6.8045,0.2635,2.4555,0
2026-03-09,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_09.csv,1188108,build/real_quote_symbol_suite/iwm/real_quote_backtest/iwm_2026_03_09_full_heuristic,1188108,106,0,0.0000,60,19.3706,8.3802,0.1450,1.0162,0
2026-03-10,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_10.csv,941763,build/real_quote_symbol_suite/iwm/real_quote_backtest/iwm_2026_03_10_full_heuristic,941763,208,2593,0.0000,60,191.0548,3.9638,0.1850,1.4528,0
2026-03-11,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_11.csv,794436,build/real_quote_symbol_suite/iwm/real_quote_backtest/iwm_2026_03_11_full_heuristic,794436,181,1613,0.0000,60,23.9089,11.9355,0.2007,1.4952,0
2026-03-12,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_12.csv,1018691,build/real_quote_symbol_suite/iwm/real_quote_backtest/iwm_2026_03_12_full_heuristic,1018691,208,2676,0.2348,60,225.2376,6.1312,0.1700,1.3078,0
2026-03-13,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_13.csv,605115,build/real_quote_symbol_suite/iwm/real_quote_backtest/iwm_2026_03_13_full_heuristic,605115,166,176,0.0000,60,14.2031,8.8332,0.1354,1.1614,0
