date,symbol,file_path,row_count,prefix,processed_quotes,completed_trades,skipped_low_edge,missed_expected_edge_bps,return_intervals,total_net_return_bps,max_drawdown_bps,minute_return_sharpe,trade_sharpe_reference,latency_expired_signals
2026-03-02,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_02.csv,1089154,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_03_02_mm-only_heuristic,1089154,286,118,18.9346,60,162.2486,10.4931,0.6588,4.6612,0
2026-03-03,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_03.csv,1237004,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_03_03_mm-only_heuristic,1237004,658,68,13.2523,60,244.9565,6.5055,0.2506,1.9354,0
2026-03-04,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_04.csv,841896,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_03_04_mm-only_heuristic,841896,184,0,0.0000,60,139.2264,8.3680,0.4023,3.5830,0
2026-03-05,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_05.csv,966139,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_03_05_mm-only_heuristic,966139,88,0,0.0000,60,64.1133,2.7409,0.4044,3.5681,0
2026-03-06,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_06.csv,1148151,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_03_06_mm-only_heuristic,1148151,126,0,0.0000,60,106.0642,7.2647,0.4435,3.6127,0
2026-03-09,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_09.csv,1188108,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_03_09_mm-only_heuristic,1188108,52,0,0.0000,60,38.9287,3.9341,0.3367,2.4922,0
2026-03-10,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_10.csv,941763,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_03_10_mm-only_heuristic,941763,140,0,0.0000,60,53.6420,6.8134,0.2771,2.5212,0
2026-03-11,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_11.csv,794436,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_03_11_mm-only_heuristic,794436,93,0,0.0000,60,71.5616,4.0007,0.4338,5.2247,0
2026-03-12,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_12.csv,1018691,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_03_12_mm-only_heuristic,1018691,136,0,0.0000,60,133.0058,6.2276,0.4179,4.1729,0
2026-03-13,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_13.csv,605115,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_03_13_mm-only_heuristic,605115,91,0,0.0000,60,31.7497,3.9074,0.2827,2.1791,0
2026-03-16,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_16.csv,616904,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_03_16_mm-only_heuristic,616904,353,0,0.0000,60,170.1180,14.1949,0.5482,3.9243,0
2026-03-17,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_17.csv,591954,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_03_17_mm-only_heuristic,591954,151,0,0.0000,60,212.4254,4.9745,0.4773,4.9167,0
2026-03-18,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_18.csv,742006,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_03_18_mm-only_heuristic,742006,62,0,0.0000,60,33.4130,3.2660,0.2963,2.4891,0
2026-03-19,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_19.csv,791704,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_03_19_mm-only_heuristic,791704,64,0,0.0000,60,27.9166,3.8210,0.3158,2.2799,0
2026-03-20,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_20.csv,822311,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_03_20_mm-only_heuristic,822311,119,0,0.0000,60,112.3313,6.8048,0.4152,3.8490,0
2026-03-23,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_23.csv,1053012,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_03_23_mm-only_heuristic,1053012,110,0,0.0000,60,72.2146,9.7350,0.3934,3.2195,0
2026-03-24,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_24.csv,816151,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_03_24_mm-only_heuristic,816151,49,0,0.0000,60,24.0702,2.0150,0.3044,2.3588,0
2026-03-25,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_25.csv,340996,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_03_25_mm-only_heuristic,340996,64,0,0.0000,60,196.9702,4.5440,0.6042,5.8240,0
2026-03-26,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_26.csv,448213,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_03_26_mm-only_heuristic,448213,9,0,0.0000,60,12.4126,2.3937,0.1499,1.2191,0
2026-03-27,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_27.csv,899319,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_03_27_mm-only_heuristic,899319,478,491,62.5739,60,220.1363,18.1629,0.4888,4.0927,0
2026-03-30,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_30.csv,614781,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_03_30_mm-only_heuristic,614781,62,0,0.0000,60,48.2428,3.1233,0.3246,2.8577,0
2026-03-31,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_31.csv,594536,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_03_31_mm-only_heuristic,594536,78,0,0.0000,60,27.8503,6.3240,0.2056,1.8911,0
2026-04-01,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_01.csv,1023217,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_04_01_mm-only_heuristic,1023217,379,7,1.3868,60,207.0965,4.9989,0.5610,4.5744,0
2026-04-02,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_02.csv,741259,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_04_02_mm-only_heuristic,741259,329,0,0.0000,60,187.9120,9.2112,0.4894,4.9822,0
2026-04-06,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_06.csv,604577,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_04_06_mm-only_heuristic,604577,47,0,0.0000,60,78.3479,4.3783,0.2564,1.9923,0
2026-04-07,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_07.csv,543356,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_04_07_mm-only_heuristic,543356,51,0,0.0000,60,17.9153,8.5951,0.1673,1.2972,0
2026-04-08,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_08.csv,685568,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_04_08_mm-only_heuristic,685568,218,0,0.0000,60,134.2459,5.8325,0.5963,4.0796,0
2026-04-09,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_09.csv,300602,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_04_09_mm-only_heuristic,300602,95,0,0.0000,60,38.8705,3.4351,0.3025,2.2886,0
2026-04-10,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_10.csv,375615,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_04_10_mm-only_heuristic,375615,116,0,0.0000,60,122.7706,3.4201,0.4998,3.8796,0
2026-04-13,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_13.csv,341889,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_04_13_mm-only_heuristic,341889,168,0,0.0000,60,82.8348,5.4379,0.4668,3.4302,0
2026-04-14,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_14.csv,351340,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_04_14_mm-only_heuristic,351340,557,0,0.0000,60,144.6056,5.2496,0.5342,4.1255,0
2026-04-15,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_15.csv,472861,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_04_15_mm-only_heuristic,472861,521,3802,650.0829,60,82.0331,4.3390,0.4543,2.9661,0
2026-04-16,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_16.csv,313925,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_04_16_mm-only_heuristic,313925,285,0,0.0000,60,121.3842,4.5356,0.5605,4.4056,0
2026-04-17,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_17.csv,521801,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_04_17_mm-only_heuristic,521801,471,109,20.3876,60,228.7581,5.1352,0.6969,5.1573,0
2026-04-20,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_20.csv,468555,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_04_20_mm-only_heuristic,468555,620,19,3.0910,60,278.3599,7.9556,0.5802,5.1033,0
2026-04-21,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_21.csv,316560,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_04_21_mm-only_heuristic,316560,478,23,4.2266,60,123.9944,8.4065,0.4445,3.6099,0
2026-04-22,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_22.csv,534357,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_04_22_mm-only_heuristic,534357,334,5308,810.2525,60,33.9097,5.1402,0.2848,1.9077,0
2026-04-23,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_23.csv,294654,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_04_23_mm-only_heuristic,294654,186,0,0.0000,60,43.3214,3.0001,0.3036,2.4373,0
2026-04-24,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_24.csv,694598,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_04_24_mm-only_heuristic,694598,1051,6382,1067.5709,60,199.1874,10.0061,0.5662,3.7066,0
2026-04-27,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_27.csv,434281,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_04_27_mm-only_heuristic,434281,431,620,110.3139,60,126.6270,10.6959,0.4235,3.8019,0
2026-04-28,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_28.csv,399840,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_04_28_mm-only_heuristic,399840,313,0,0.0000,60,81.1949,8.2651,0.3703,3.0799,0
2026-04-29,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_29.csv,486953,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_04_29_mm-only_heuristic,486953,941,87,14.4425,60,268.5966,10.3526,0.6704,5.7364,0
2026-04-30,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_30.csv,557384,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_04_30_mm-only_heuristic,557384,667,18,3.3207,60,180.4072,8.0525,0.4635,3.8397,0
2026-05-01,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_05_01.csv,442342,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_05_01_mm-only_heuristic,442342,704,0,0.0000,60,219.6227,6.1783,0.6423,4.9563,0
2026-05-04,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_05_04.csv,605618,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_05_04_mm-only_heuristic,605618,810,13999,2234.7625,60,253.6769,8.9765,0.4842,3.6181,0
2026-05-05,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_05_05.csv,471266,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_05_05_mm-only_heuristic,471266,972,77,13.8762,60,285.3870,6.9924,0.6407,5.3144,0
2026-05-06,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_05_06.csv,553807,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_05_06_mm-only_heuristic,553807,480,12126,1684.9244,60,83.1193,7.3906,0.3008,2.8540,0
2026-05-07,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_05_07.csv,498844,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_05_07_mm-only_heuristic,498844,613,16380,2355.1925,60,73.0715,7.6361,0.3878,2.8670,0
2026-05-08,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_05_08.csv,433685,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_05_08_mm-only_heuristic,433685,508,32631,3590.9252,60,111.9484,8.2551,0.3734,3.3996,0
2026-05-11,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_05_11.csv,460328,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_05_11_mm-only_heuristic,460328,584,51331,4035.5579,60,89.6825,18.4768,0.2287,2.2016,0
2026-05-12,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_05_12.csv,723618,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/iwm_2026_05_12_mm-only_heuristic,723618,698,21061,3304.1024,60,106.7332,8.5905,0.3371,2.9071,0
