portfolio_mode,seed,adverse_selection_bps,sessions,total_pnl_bps,avg_daily_pnl_bps,median_daily_pnl_bps,p05_daily_pnl_bps,p95_daily_pnl_bps,losing_days,loss_day_rate,minute_sharpe,worst_drawdown_bps,trade_count
full,1337,0.0,51,4180.593800,81.972427,70.236500,4.319550,196.126600,2,0.039216,0.255022945980,-18.963379,20656
full,2027,0.0,51,4305.364000,84.418902,70.614300,15.146000,194.282350,0,0.000000,0.291505989371,-22.828107,20308
full,9001,0.0,51,4418.237700,86.632112,63.118400,3.016950,214.428200,2,0.039216,0.239337314587,-14.120023,20378
full,1337,0.25,51,2595.891700,50.899837,41.874000,-5.856550,159.293150,6,0.117647,0.138477910833,-38.963331,17866
full,2027,0.25,51,2757.411700,54.066896,39.212500,-1.182250,177.637800,3,0.058824,0.169336091344,-45.216288,17956
full,9001,0.25,51,2582.746200,50.642082,37.792200,-12.653650,158.998950,7,0.137255,0.142999894154,-49.687989,18131
full,1337,0.5,51,1203.289700,23.593916,8.946200,-16.763600,100.632700,19,0.372549,0.075973658120,-74.529211,16391
full,2027,0.5,51,1341.986900,26.313469,14.380400,-20.824800,89.384750,14,0.274510,0.091577559198,-80.758659,15983
full,9001,0.5,51,1584.912100,31.076708,8.976000,-24.911950,150.517550,19,0.372549,0.077385559702,-200.806108,15529
full,1337,1.0,51,-314.638500,-6.169382,-20.510200,-46.353800,75.512800,36,0.705882,-0.020426453297,-659.763634,12699
full,2027,1.0,51,195.949400,3.842145,-10.381500,-40.449550,96.609850,33,0.647059,0.009987814517,-511.434939,11817
full,9001,1.0,51,42.609500,0.835480,-15.141100,-57.468000,87.915000,36,0.705882,0.002189969097,-612.628761,11662
full,1337,2.0,51,-1515.849700,-29.722543,-35.905000,-50.690900,18.536650,47,0.921569,-0.106012725310,-1591.871571,7455
full,2027,2.0,51,-1504.890400,-29.507655,-34.773100,-55.661150,18.418500,48,0.941176,-0.104373589572,-1504.890225,6962
full,9001,2.0,51,-1645.961300,-32.273751,-35.535900,-49.404000,-8.110250,49,0.960784,-0.141037524693,-1777.737818,6759
mm-only,1337,0.0,51,6209.212600,121.749267,111.948400,25.960250,261.136750,0,0.000000,0.381904853326,-12.155251,17080
mm-only,2027,0.0,51,6236.398100,122.282316,115.636400,20.889050,298.554600,0,0.000000,0.316884367529,-20.604620,16666
mm-only,9001,0.0,51,5251.762300,102.975731,89.418700,13.168650,250.868250,0,0.000000,0.315780382992,-11.964910,16681
mm-only,1337,0.25,51,4121.676000,80.817176,71.302800,17.677500,192.488850,1,0.019608,0.261853980954,-35.848039,14721
mm-only,2027,0.25,51,4399.011200,86.255122,66.020500,8.175300,251.544950,0,0.000000,0.213600917373,-26.081017,14715
mm-only,9001,0.25,51,3567.539100,69.951747,59.566300,3.280800,189.896000,1,0.019608,0.203115832425,-25.799664,14262
mm-only,1337,0.5,51,2987.040800,58.569427,41.726700,-1.666150,175.822400,3,0.058824,0.149492599844,-40.868117,12689
mm-only,2027,0.5,51,3408.724200,66.837729,40.981900,-4.041400,218.613450,3,0.058824,0.135451805318,-37.207425,12866
mm-only,9001,0.5,51,2157.914800,42.312055,26.586300,-13.153150,153.707400,10,0.196078,0.162043073120,-56.171063,11908
mm-only,1337,1.0,51,677.314500,13.280676,2.470800,-27.879000,79.589350,24,0.470588,0.050113821481,-244.500283,7705
mm-only,2027,1.0,51,884.272400,17.338675,2.303000,-26.530450,107.403600,23,0.450980,0.047034624419,-225.622357,8162
mm-only,9001,1.0,51,495.089800,9.707643,-6.577300,-25.004250,100.143000,29,0.568627,0.040088067521,-315.145977,8217
mm-only,1337,2.0,51,-894.846500,-17.546010,-21.574700,-37.960800,17.002300,44,0.862745,-0.096929422473,-903.905817,3435
mm-only,2027,2.0,51,-736.990200,-14.450788,-19.326500,-41.007400,16.072400,43,0.843137,-0.051079922499,-883.236609,3585
mm-only,9001,2.0,51,-847.067200,-16.609161,-23.921900,-35.219200,34.553950,45,0.882353,-0.074609757878,-908.444007,3551
