portfolio_mode,adverse_selection_bps,runs,mean_total_pnl_bps,median_total_pnl_bps,p05_total_pnl_bps,mean_minute_sharpe,median_minute_sharpe,p05_minute_sharpe,mean_worst_drawdown_bps,worst_drawdown_bps,positive_pnl_run_rate
full,0.0,3,4301.398500,4305.364000,4193.070820,0.261955416646,0.255022945980,0.240905877726,-18.637170,-22.828107,1.000000
full,0.25,3,2645.349867,2595.891700,2584.060750,0.150271298777,0.142999894154,0.138930109165,-44.622536,-49.687989,1.000000
full,0.5,3,1376.729567,1341.986900,1217.159420,0.081645592340,0.077385559702,0.076114848278,-118.697993,-200.806108,1.000000
full,1.0,3,-25.359867,42.609500,-278.913700,-0.002749556561,0.002189969097,-0.018164811058,-594.609111,-659.763634,0.666667
full,2.0,3,-1555.567133,-1515.849700,-1632.950140,-0.117141279858,-0.106012725310,-0.137535044755,-1624.833205,-1777.737818,0.000000
mm-only,0.0,3,5899.124333,6209.212600,5347.507330,0.338189867949,0.316884367529,0.315890781446,-14.908260,-20.604620,1.000000
mm-only,0.25,3,4029.408767,4121.676000,3622.952790,0.226190243584,0.213600917373,0.204164340920,-29.242907,-35.848039,1.000000
mm-only,0.5,3,2851.226600,2987.040800,2240.827400,0.148995826094,0.149492599844,0.136855884771,-44.748868,-56.171063,1.000000
mm-only,1.0,3,685.558900,677.314500,513.312270,0.045745504474,0.047034624419,0.040782723211,-261.756206,-315.145977,1.000000
mm-only,2.0,3,-826.301300,-847.067200,-890.068570,-0.074206367617,-0.074609757878,-0.094697456014,-898.528811,-908.444007,0.000000
