date,symbol,file_path,row_count,first_timestamp_ns,last_timestamp_ns,duration_minutes,min_bid,max_ask,mean_spread,median_spread,min_spread,max_spread,status
2026-03-02,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_02.csv,1036245,1772461800003908942,1772465399995908567,59.9999,580.930000,615.000000,3.70657986,2.80734203,0.16495253,356.23409669,ok
2026-03-03,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_03.csv,1205769,1772548200004813883,1772551799972833641,59.9995,578.330000,614.150000,3.70768400,3.01441897,0.16685995,600.76479270,ok
2026-03-04,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_04.csv,798088,1772634600011796468,1772638199996517384,59.9997,586.110000,622.430000,4.96658724,4.10269876,0.16368889,601.05581942,ok
2026-03-05,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_05.csv,1258385,1772721000008547939,1772724599968035658,59.9993,589.220000,625.750000,2.03348056,0.65595277,0.16320269,601.33172012,ok
2026-03-06,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_06.csv,1060721,1772807400009976618,1772810999978946248,59.9995,582.250000,618.290000,3.25878474,2.48564540,0.16566028,600.39648825,ok
2026-03-09,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_09.csv,725878,1773063000003813613,1773066599970934675,59.9995,576.360000,612.090000,5.60795978,4.89439086,0.16802063,601.28739114,ok
2026-03-10,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_10.csv,898026,1773149400004279342,1773152999996138851,59.9999,589.440000,625.940000,3.59118728,2.79474260,0.16402451,600.63519229,ok
2026-03-11,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_11.csv,1060913,1773235800026703052,1773239399995743905,59.9995,590.510000,627.210000,3.01996178,2.62721466,0.16340003,350.39265274,ok
2026-03-12,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_12.csv,1041602,1773322200013208427,1773325799975838563,59.9994,584.730000,620.960000,2.92961905,1.66198541,0.16555058,600.98366910,ok
2026-03-13,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_13.csv,1111811,1773408600016782751,1773412199992371414,59.9996,590.000000,613.630000,2.14147151,0.83094437,0.16569871,231.11667931,ok
2026-03-16,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_16.csv,1048573,1773667800014783580,1773671399986091289,59.9995,581.900000,617.960000,2.25570361,0.83062687,0.16595169,601.07012485,ok
2026-03-17,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_17.csv,1054896,1773754200007823796,1773757799995522535,59.9998,585.000000,621.260000,1.03390155,0.49616711,0.16504237,323.56799300,ok
2026-03-18,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_18.csv,1160890,1773840600010549023,1773844199979024084,59.9995,583.430000,619.580000,1.83557651,0.66766817,0.16580586,600.99251045,ok
2026-03-19,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_19.csv,1219556,1773927000011785190,1773930599903523320,59.9982,571.780000,607.240000,2.33598530,1.01421593,0.16881484,601.51651371,ok
2026-03-20,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_20.csv,1201432,1774013400011332134,1774016999999571687,59.9998,573.490000,609.060000,2.36680968,0.85403660,0.16928924,601.58132849,ok
2026-03-23,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_23.csv,1103519,1774272600015619031,1774276199987975585,59.9995,572.650000,608.140000,2.78274452,1.68622690,0.16804887,601.12297699,ok
2026-03-24,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_24.csv,1063733,1774359000007627652,1774362599989392761,59.9997,567.240000,602.420000,3.19821779,2.73888185,0.17063536,601.54232854,ok
2026-03-25,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_25.csv,715029,1774445400014886835,1774448999998008753,59.9997,571.400000,606.830000,2.74298663,1.86914300,0.16910602,601.41059046,ok
2026-03-26,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_26.csv,1013162,1774531800014199227,1774535399917841387,59.9984,565.020000,600.010000,2.12318472,0.51655116,0.17109372,600.67122735,ok
2026-03-27,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_27.csv,1123830,1774618200005278803,1774621799969853347,59.9994,553.630000,587.930000,2.03257034,0.70585329,0.17526794,600.93205789,ok
2026-03-30,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_30.csv,1045025,1774877400005907970,1774880999970369988,59.9994,550.300000,584.400000,2.33600183,1.06164626,0.17605789,601.03992245,ok
2026-03-31,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_31.csv,1116526,1774963800012133321,1774967399991959047,59.9997,547.380000,581.310000,2.90915112,1.05738052,0.17576082,601.22797225,ok
2026-04-01,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_01.csv,1090605,1775050200004595222,1775053799813960643,59.9968,564.020000,598.950000,2.47956476,1.02799575,0.17113764,600.70337154,ok
2026-04-02,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_02.csv,872120,1775136600012287836,1775140199960574375,59.9991,556.760000,591.260000,3.37661202,2.59630114,0.17250451,601.03482518,ok
2026-04-03,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_03.csv,0,,,0.0000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.00000000,empty
2026-04-06,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_06.csv,608254,1775482200006647479,1775485799917001630,59.9985,568.540000,603.780000,5.34064666,4.58641572,0.16966263,601.20103726,ok
2026-04-07,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_07.csv,620665,1775568600011261481,1775572199950550172,59.9990,567.910000,603.100000,3.08093616,1.71921741,0.17056842,358.32130771,ok
2026-04-08,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_08.csv,371444,1775655000020857510,1775658599958992283,59.9990,590.380000,626.930000,4.22806914,3.46657643,0.16398147,600.50439083,ok
2026-04-09,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_09.csv,741398,1775741400000194161,1775744999987375946,59.9998,594.660000,624.110000,2.05300449,0.99272005,0.16486008,296.59018846,ok
2026-04-10,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_10.csv,652103,1775827800014389899,1775831399996486740,59.9997,593.320000,630.090000,1.67287737,0.81768155,0.16318937,601.10674263,ok
2026-04-13,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_13.csv,324927,1776087000014263468,1776090599975133302,59.9993,591.120000,627.750000,3.14823135,1.80031260,0.16338935,306.01111102,ok
2026-04-14,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_14.csv,539865,1776173400019046284,1776176999981164611,59.9994,619.000000,639.020000,2.04182076,0.96438215,0.16031936,299.56003113,ok
2026-04-15,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_15.csv,604608,1776259800009347924,1776263399909558828,59.9983,613.540000,648.010000,1.79943744,0.79387131,0.15830174,303.76851554,ok
2026-04-16,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_16.csv,522447,1776346200012830811,1776349799999396422,59.9998,619.930000,658.340000,1.71066468,1.09806505,0.15665510,344.40933567,ok
2026-04-17,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_17.csv,709244,1776432600025558371,1776436199960849416,59.9989,626.080000,664.890000,2.53789845,1.08459030,0.15444135,601.25332115,ok
2026-04-20,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_20.csv,788382,1776691800004546219,1776695399991585103,59.9998,628.510000,667.470000,1.99333347,0.92836144,0.15428408,321.39642284,ok
2026-04-21,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_21.csv,746786,1776778200010795091,1776781799987153647,59.9996,628.940000,650.390000,1.94185925,0.77276767,0.15379765,319.94868305,ok
2026-04-22,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_22.csv,755682,1776864600010318203,1776868199910934653,59.9983,644.330000,669.480000,1.69122628,0.77001856,0.15319449,314.51264195,ok
2026-04-23,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_23.csv,719487,1776951000007912057,1776954599996412753,59.9998,651.050000,673.240000,2.09954732,0.91834392,0.15257043,317.93935461,ok
2026-04-24,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_24.csv,963341,1777037400010939145,1777040999987412380,59.9996,638.740000,678.280000,2.28899297,1.06270732,0.15156452,324.21276366,ok
2026-04-27,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_27.csv,729806,1777296600019351832,1777300199930936467,59.9985,643.360000,683.200000,2.90116585,1.21043394,0.15071704,324.10884941,ok
2026-04-28,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_28.csv,699470,1777383000006109769,1777386599991870163,59.9998,637.860000,677.370000,2.87306926,1.21636004,0.15161278,600.80746333,ok
2026-04-29,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_29.csv,645671,1777469400011259472,1777472999791756058,59.9963,638.810000,660.440000,2.19625940,0.76137687,0.15147499,332.96132384,ok
2026-04-30,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_30.csv,834769,1777555800031785547,1777559399985506216,59.9992,645.590000,685.580000,3.22367338,1.81906379,0.15043136,390.51230575,ok
2026-05-01,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_05_01.csv,650662,1777642200016247998,1777645799981375465,59.9994,650.930000,689.280000,2.48938324,1.04020388,0.14799577,370.91205163,ok
2026-05-04,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_05_04.csv,426421,1777901400009001732,1777904999995466116,59.9998,654.290000,694.820000,3.68849724,1.33245490,0.14793884,600.84055414,ok
2026-05-05,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_05_05.csv,658411,1777987800011845317,1777991399971527816,59.9993,657.610000,698.340000,2.27702035,1.02917717,0.14675129,600.75961503,ok
2026-05-06,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_05_06.csv,803359,1778074200007134794,1778077799998576132,59.9999,667.070000,708.380000,3.11589672,1.30488680,0.14482154,600.67614235,ok
2026-05-07,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_05_07.csv,733009,1778160600012363953,1778164199993646284,59.9997,675.770000,702.880000,1.97814597,0.86219284,0.14285000,303.41892798,ok
2026-05-08,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_05_08.csv,560353,1778247000007174765,1778250599985828690,59.9996,678.780000,720.850000,2.26741609,0.99243622,0.14149775,601.15887770,ok
2026-05-11,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_05_11.csv,927144,1778506200011783260,1778509799940719597,59.9988,703.000000,715.000000,1.69704762,0.70319037,0.14021018,138.01676826,ok
2026-05-12,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_05_12.csv,876266,1778592600016218997,1778596199991597926,59.9996,686.510000,715.000000,2.75462862,1.41723356,0.14083218,288.41943565,ok
