date,symbol,file_path,row_count,prefix,processed_quotes,completed_trades,skipped_low_edge,missed_expected_edge_bps,return_intervals,total_net_return_bps,max_drawdown_bps,minute_return_sharpe,trade_sharpe_reference,latency_expired_signals
2026-03-02,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_02.csv,1036245,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_03_02_full_heuristic,1036242,701,30448,1.6789,60,320.6745,4.3281,0.7489,12.5733,3
2026-03-03,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_03.csv,1205769,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_03_03_full_heuristic,1205762,1055,51110,12.4278,60,306.0345,4.8220,0.8676,10.8472,7
2026-03-04,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_04.csv,798088,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_03_04_full_heuristic,798085,307,13176,0.0000,60,34.1027,4.1524,0.3591,3.5462,3
2026-03-05,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_05.csv,1258385,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_03_05_full_heuristic,1258383,1095,63665,187.1637,60,355.1265,10.0189,0.7752,12.9684,2
2026-03-06,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_06.csv,1060721,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_03_06_full_heuristic,1060720,680,35933,3.6729,60,256.8166,4.8961,0.9512,11.1297,1
2026-03-09,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_09.csv,725878,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_03_09_full_heuristic,725877,93,0,0.0000,60,-12.4238,13.1570,-0.3255,-3.6361,1
2026-03-10,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_10.csv,898026,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_03_10_full_heuristic,898018,876,52439,6.6062,60,218.0163,4.7017,0.8862,9.4111,8
2026-03-11,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_11.csv,1060913,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_03_11_full_heuristic,1060911,792,46823,5.4195,60,236.1379,10.5239,0.6415,11.8391,2
2026-03-12,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_12.csv,1041602,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_03_12_full_heuristic,1041601,1090,63208,3.3930,60,459.0982,8.7498,0.8327,17.7295,1
2026-03-13,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_13.csv,1111811,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_03_13_full_heuristic,1111807,869,42234,27.8661,60,183.5962,8.2940,0.6554,8.0440,4
2026-03-16,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_16.csv,1048573,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_03_16_full_heuristic,1048568,1226,77389,246.1804,60,428.8334,5.1468,0.8707,17.2360,5
2026-03-17,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_17.csv,1054896,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_03_17_full_heuristic,1054894,769,66664,2056.9313,60,34.9392,16.2923,0.1950,2.1673,2
2026-03-18,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_18.csv,1160890,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_03_18_full_heuristic,1160889,993,54477,6.7030,60,265.1501,8.5879,0.6313,11.0021,1
2026-03-19,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_19.csv,1219556,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_03_19_full_heuristic,1219555,1334,92474,18.1797,60,400.0613,3.7601,0.9490,15.6077,1
2026-03-20,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_20.csv,1201432,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_03_20_full_heuristic,1201429,664,57038,3.0080,60,202.2813,9.1779,0.6217,10.9417,3
