portfolio_mode,seed,adverse_selection_bps,sessions,total_pnl_bps,avg_daily_pnl_bps,median_daily_pnl_bps,p05_daily_pnl_bps,p95_daily_pnl_bps,losing_days,loss_day_rate,minute_sharpe,worst_drawdown_bps,trade_count
full,1337,0.0,51,8471.387100,166.105629,154.870700,30.784600,389.542900,2,0.039216,0.426441419191,-15.236759,39431
full,2027,0.0,51,8323.418200,163.204278,159.914300,19.601700,374.507250,2,0.039216,0.458931297816,-19.773348,39256
full,9001,0.0,51,7946.767500,155.818971,150.724100,19.314400,374.720650,2,0.039216,0.475544619304,-13.762579,39851
full,1337,0.25,51,4351.405400,85.321675,61.728300,-16.905200,258.871250,11,0.215686,0.324095903829,-51.067794,36600
full,2027,0.25,51,4725.140900,92.649822,80.866300,-19.698850,267.674800,10,0.196078,0.277643369185,-57.725302,36552
full,9001,0.25,51,4626.911000,90.723745,79.910800,-18.456100,273.423300,11,0.215686,0.285053705866,-62.546150,37126
full,1337,0.5,51,1399.130300,27.433927,12.157900,-34.687450,141.737950,21,0.411765,0.122809034239,-388.804857,31722
full,2027,0.5,51,1544.120200,30.276867,21.776200,-36.220750,144.480300,22,0.431373,0.106730380960,-301.785051,31758
full,9001,0.5,51,1867.455600,36.616776,10.332300,-33.959650,194.977500,25,0.490196,0.108547966754,-408.769015,32372
full,1337,1.0,51,-1768.853400,-34.683400,-33.279700,-67.641750,-1.800150,48,0.941176,-0.211660637986,-1835.439544,17737
full,2027,1.0,51,-1645.800500,-32.270598,-37.608900,-60.457850,24.152550,46,0.901961,-0.127769122416,-1656.247837,17398
full,9001,1.0,51,-1888.989000,-37.039000,-39.441700,-60.730050,0.404900,48,0.941176,-0.228733852059,-1930.525377,17716
full,1337,2.0,51,-1917.419200,-37.596455,-43.784400,-53.977100,-31.074150,49,0.960784,-0.123307923914,-2132.423285,6125
full,2027,2.0,51,-2279.891500,-44.703755,-43.718700,-59.893600,-35.585000,51,1.000000,-0.256756607546,-2279.891201,6487
full,9001,2.0,51,-2208.339800,-43.300780,-42.854600,-53.036350,-33.591950,51,1.000000,-0.296092546598,-2208.339846,6185
mm-only,1337,0.0,51,11660.652700,228.640249,217.963900,44.429150,517.195850,0,0.000000,0.453262584975,-14.300815,35247
mm-only,2027,0.0,51,11739.896400,230.194047,205.977900,39.035750,533.409550,0,0.000000,0.408388280712,-13.750248,34615
mm-only,9001,0.0,51,10612.283100,208.083982,181.195700,31.281750,512.880950,0,0.000000,0.591438204888,-16.564255,35137
mm-only,1337,0.25,51,6740.546200,132.167573,110.007900,1.388050,355.882400,2,0.039216,0.335766183972,-54.802932,32729
mm-only,2027,0.25,51,7107.092700,139.354759,129.092800,3.407350,361.616250,3,0.058824,0.300991913703,-40.385272,32886
mm-only,9001,0.25,51,6145.642500,120.502794,94.840500,-0.095650,321.336400,3,0.058824,0.412471659026,-35.027025,33031
mm-only,1337,0.5,51,3125.652400,61.287302,36.816600,-25.468500,195.340350,14,0.274510,0.187100477447,-145.430536,28784
mm-only,2027,0.5,51,3483.700000,68.307843,35.678200,-26.321950,233.725000,13,0.254902,0.136782651816,-169.428563,27825
mm-only,9001,0.5,51,3042.821200,59.663161,26.076900,-28.494150,218.744800,19,0.372549,0.176795857598,-143.042634,27620
mm-only,1337,1.0,51,-1044.117400,-20.472890,-22.255500,-61.657050,31.633800,45,0.882353,-0.092578115528,-1273.661213,12876
mm-only,2027,1.0,51,-825.566000,-16.187569,-19.325200,-42.975800,31.726350,45,0.882353,-0.067373635330,-953.990423,13530
mm-only,9001,1.0,51,-806.115200,-15.806180,-19.648900,-64.484050,56.747400,45,0.882353,-0.062473525245,-987.442105,14854
mm-only,1337,2.0,51,-1235.537100,-24.226218,-30.436900,-40.720800,-14.502800,49,0.960784,-0.086698947394,-1244.391074,2829
mm-only,2027,2.0,51,-1404.401500,-27.537284,-29.187400,-41.292650,-16.128800,50,0.980392,-0.153135343694,-1406.164840,2488
mm-only,9001,2.0,51,-1218.141000,-23.885118,-24.135500,-41.227700,-15.181550,50,0.980392,-0.130043809900,-1218.483527,2453
