portfolio_mode,seed,adverse_selection_bps,date,symbol,row_count,prefix,processed_quotes,completed_trades,total_net_return_bps,max_drawdown_bps,minute_return_sharpe,latency_expired_signals
full,1337,0.0,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_1337/adv_0p0/qqq_2026_03_03,1205769,1055,296.8262,4.8220,0.8650,0
full,1337,0.0,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_1337/adv_0p0/qqq_2026_03_19,1219556,1334,386.8748,3.7601,0.9469,0
full,1337,0.0,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_1337/adv_0p0/qqq_2026_03_20,1201432,664,195.1084,9.1779,0.6207,0
full,2027,0.0,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_2027/adv_0p0/qqq_2026_03_03,1205769,1130,269.9992,5.9861,0.9728,0
full,2027,0.0,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_2027/adv_0p0/qqq_2026_03_19,1219556,1294,391.8280,6.1856,0.9091,0
full,2027,0.0,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_2027/adv_0p0/qqq_2026_03_20,1201432,661,177.5320,7.0679,0.6655,0
full,9001,0.0,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_9001/adv_0p0/qqq_2026_03_03,1205769,1082,274.4032,4.3186,0.9715,0
full,9001,0.0,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_9001/adv_0p0/qqq_2026_03_19,1219556,1286,423.8783,4.2347,0.8882,0
full,9001,0.0,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_9001/adv_0p0/qqq_2026_03_20,1201432,668,186.9041,10.3492,0.6667,0
full,1337,0.25,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_1337/adv_0p25/qqq_2026_03_03,1205769,1030,202.3782,6.6129,0.7678,0
full,1337,0.25,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_1337/adv_0p25/qqq_2026_03_19,1219556,1307,261.9264,5.6274,0.7243,0
full,1337,0.25,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_1337/adv_0p25/qqq_2026_03_20,1201432,678,107.2901,15.6988,0.4404,0
full,2027,0.25,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_2027/adv_0p25/qqq_2026_03_03,1205769,1066,192.7872,11.8270,0.6292,0
full,2027,0.25,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_2027/adv_0p25/qqq_2026_03_19,1219556,1302,289.9702,9.3527,0.8177,0
full,2027,0.25,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_2027/adv_0p25/qqq_2026_03_20,1201432,657,134.8594,9.9960,0.5170,0
full,9001,0.25,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_9001/adv_0p25/qqq_2026_03_03,1205769,1069,186.0049,5.7677,0.7238,0
full,9001,0.25,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_9001/adv_0p25/qqq_2026_03_19,1219556,1285,294.6633,7.0875,0.7655,0
full,9001,0.25,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_9001/adv_0p25/qqq_2026_03_20,1201432,668,120.1890,14.1410,0.5056,0
full,1337,0.5,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_1337/adv_0p5/qqq_2026_03_03,1205769,1007,69.9205,12.0621,0.3164,0
full,1337,0.5,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_1337/adv_0p5/qqq_2026_03_19,1219556,1255,136.5272,10.2785,0.4582,0
full,1337,0.5,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_1337/adv_0p5/qqq_2026_03_20,1201432,665,32.9589,21.7133,0.1545,0
full,2027,0.5,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_2027/adv_0p5/qqq_2026_03_03,1205769,967,57.9567,25.6254,0.2502,0
full,2027,0.5,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_2027/adv_0p5/qqq_2026_03_19,1219556,1235,114.3243,13.3904,0.4355,0
full,2027,0.5,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_2027/adv_0p5/qqq_2026_03_20,1201432,635,62.9688,14.3408,0.3447,0
full,9001,0.5,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_9001/adv_0p5/qqq_2026_03_03,1205769,1023,224.7994,17.4593,0.2143,0
full,9001,0.5,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_9001/adv_0p5/qqq_2026_03_19,1219556,1247,137.5056,16.9844,0.5608,0
full,9001,0.5,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_9001/adv_0p5/qqq_2026_03_20,1201432,684,59.5261,18.3553,0.2796,0
full,1337,1.0,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_1337/adv_1p0/qqq_2026_03_03,1205769,631,-50.2184,52.6702,-0.2505,0
full,1337,1.0,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_1337/adv_1p0/qqq_2026_03_19,1219556,712,-77.5516,78.4363,-0.4062,0
full,1337,1.0,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_1337/adv_1p0/qqq_2026_03_20,1201432,111,-33.2347,33.7467,-0.3584,0
full,2027,1.0,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_2027/adv_1p0/qqq_2026_03_03,1205769,486,-42.8338,49.1783,-0.2610,0
full,2027,1.0,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_2027/adv_1p0/qqq_2026_03_19,1219556,854,-42.5598,42.5598,-0.2175,0
full,2027,1.0,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_2027/adv_1p0/qqq_2026_03_20,1201432,396,-43.9090,44.2257,-0.2867,0
full,9001,1.0,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_9001/adv_1p0/qqq_2026_03_03,1205769,610,-45.4325,50.5049,-0.2183,0
full,9001,1.0,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_9001/adv_1p0/qqq_2026_03_19,1219556,840,-37.6772,37.8927,-0.2062,0
full,9001,1.0,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_9001/adv_1p0/qqq_2026_03_20,1201432,470,-57.6893,58.5683,-0.3176,0
full,1337,2.0,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_1337/adv_2p0/qqq_2026_03_03,1205769,276,215.5318,54.3439,0.1314,0
full,1337,2.0,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_1337/adv_2p0/qqq_2026_03_19,1219556,134,-42.9890,43.1602,-0.4664,0
full,1337,2.0,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_1337/adv_2p0/qqq_2026_03_20,1201432,111,-53.6226,53.6226,-0.3403,0
full,2027,2.0,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_2027/adv_2p0/qqq_2026_03_03,1205769,233,-56.9324,58.6370,-0.4179,0
full,2027,2.0,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_2027/adv_2p0/qqq_2026_03_19,1219556,111,-38.8769,38.8769,-0.3384,0
full,2027,2.0,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_2027/adv_2p0/qqq_2026_03_20,1201432,111,-44.5858,44.5858,-0.2815,0
full,9001,2.0,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_9001/adv_2p0/qqq_2026_03_03,1205769,189,-51.9145,53.9954,-0.4137,0
full,9001,2.0,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_9001/adv_2p0/qqq_2026_03_19,1219556,172,-51.2790,51.2790,-0.4477,0
full,9001,2.0,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/full/seed_9001/adv_2p0/qqq_2026_03_20,1201432,111,-48.8812,48.8812,-0.2579,0
mm-only,1337,0.0,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_1337/adv_0p0/qqq_2026_03_03,1205769,938,342.5202,4.8556,1.0954,0
mm-only,1337,0.0,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_1337/adv_0p0/qqq_2026_03_19,1219556,1212,523.5272,6.3882,1.0196,0
mm-only,1337,0.0,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_1337/adv_0p0/qqq_2026_03_20,1201432,589,272.0829,3.3113,0.6793,0
mm-only,2027,0.0,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_2027/adv_0p0/qqq_2026_03_03,1205769,922,680.5354,4.4645,0.3577,0
mm-only,2027,0.0,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_2027/adv_0p0/qqq_2026_03_19,1219556,1214,532.5095,6.9219,0.9673,0
mm-only,2027,0.0,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_2027/adv_0p0/qqq_2026_03_20,1201432,592,244.7454,4.0559,0.7308,0
mm-only,9001,0.0,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_9001/adv_0p0/qqq_2026_03_03,1205769,911,352.6816,7.1901,0.9196,0
mm-only,9001,0.0,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_9001/adv_0p0/qqq_2026_03_19,1219556,1216,499.4194,5.8094,0.9204,0
mm-only,9001,0.0,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_9001/adv_0p0/qqq_2026_03_20,1201432,601,242.0854,5.0203,0.7114,0
mm-only,1337,0.25,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_1337/adv_0p25/qqq_2026_03_03,1205769,930,206.8198,11.9859,0.7712,0
mm-only,1337,0.25,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_1337/adv_0p25/qqq_2026_03_19,1219556,1208,461.3063,8.0648,0.6143,0
mm-only,1337,0.25,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_1337/adv_0p25/qqq_2026_03_20,1201432,589,192.0927,4.2210,0.5545,0
mm-only,2027,0.25,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_2027/adv_0p25/qqq_2026_03_03,1205769,922,551.4820,6.0162,0.2942,0
mm-only,2027,0.25,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_2027/adv_0p25/qqq_2026_03_19,1219556,1183,331.6623,12.5067,0.7774,0
