portfolio_mode,adverse_selection_bps,runs,mean_total_pnl_bps,median_total_pnl_bps,p05_total_pnl_bps,mean_minute_sharpe,median_minute_sharpe,p05_minute_sharpe,mean_worst_drawdown_bps,worst_drawdown_bps,positive_pnl_run_rate
full,0.0,3,8247.190933,8323.418200,7984.432570,0.453639112104,0.458931297816,0.429690407053,-16.257562,-19.773348,1.000000
full,0.25,3,4567.819100,4626.911000,4378.955960,0.295597659627,0.285053705866,0.278384402853,-57.113082,-62.546150,1.000000
full,0.5,3,1603.568700,1544.120200,1413.629290,0.112695793984,0.108547966754,0.106912139539,-366.452974,-408.769015,1.000000
full,1.0,3,-1767.880967,-1768.853400,-1876.975440,-0.189387870820,-0.211660637986,-0.227026530652,-1807.404253,-1930.525377,0.000000
full,2.0,3,-2135.216833,-2208.339800,-2272.736330,-0.225385692686,-0.256756607546,-0.292158952693,-2206.884777,-2279.891201,0.000000
mm-only,0.0,3,11337.610733,11660.652700,10717.120060,0.484363023525,0.453262584975,0.412875711138,-14.871773,-16.564255,1.000000
mm-only,0.25,3,6664.427133,6740.546200,6205.132870,0.349743252234,0.335766183972,0.304469340730,-43.405076,-54.802932,1.000000
mm-only,0.5,3,3217.391200,3125.652400,3051.104320,0.166892995620,0.176795857598,0.140783972394,-152.633911,-169.428563,1.000000
mm-only,1.0,3,-891.932867,-825.566000,-1022.262260,-0.074141758701,-0.067373635330,-0.090057667508,-1071.697914,-1273.661213,0.000000
mm-only,2.0,3,-1286.026533,-1235.537100,-1387.515060,-0.123292700329,-0.130043809900,-0.150826190315,-1289.679814,-1406.164840,0.000000
