date,symbol,file_path,row_count,prefix,processed_quotes,completed_trades,skipped_low_edge,missed_expected_edge_bps,return_intervals,total_net_return_bps,max_drawdown_bps,minute_return_sharpe,trade_sharpe_reference,latency_expired_signals
2026-03-02,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_02.csv,902935,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_03_02_full_heuristic,902935,656,32602,0.0000,60,468.9915,3.1490,0.9625,14.4519,0
2026-03-03,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_03.csv,1202713,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_03_03_full_heuristic,1202713,954,50795,12.6847,60,495.1746,4.1265,1.3823,13.6321,0
2026-03-04,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_04.csv,832245,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_03_04_full_heuristic,832245,1031,51027,20.0946,60,635.6045,10.2690,0.9868,21.7138,0
2026-03-05,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_05.csv,925158,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_03_05_full_heuristic,925158,678,41172,0.6977,60,444.8435,4.4574,0.8494,15.5412,0
2026-03-06,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_06.csv,1182855,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_03_06_full_heuristic,1182855,691,34688,1.3754,60,282.6194,5.7749,0.9916,11.4740,0
2026-03-09,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_09.csv,1244714,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_03_09_full_heuristic,1244714,1076,53007,6.5327,60,399.2319,6.6530,0.3433,2.7596,0
2026-03-10,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_10.csv,723582,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_03_10_full_heuristic,723582,430,19350,1.3022,60,145.7013,3.6232,0.8226,9.0399,0
2026-03-11,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_11.csv,582400,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_03_11_full_heuristic,582400,428,18132,0.0524,60,169.3088,7.3825,0.6399,9.0098,0
2026-03-12,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_12.csv,489463,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_03_12_full_heuristic,489463,446,17059,0.0001,60,240.5308,3.4765,0.9900,13.7453,0
2026-03-13,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_13.csv,943635,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_03_13_full_heuristic,943635,478,29839,6.7670,60,83.1327,7.5293,0.4833,4.6054,0
2026-03-16,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_16.csv,812713,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_03_16_full_heuristic,812713,759,51282,133.4649,60,251.5315,11.1135,0.8330,12.6464,0
2026-03-17,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_17.csv,333314,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_03_17_full_heuristic,333314,228,764,1.9197,60,34.3949,4.7431,0.3723,3.0913,0
2026-03-18,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_18.csv,821638,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_03_18_full_heuristic,821638,844,39011,2.1209,60,413.3309,6.3641,1.0427,15.4841,0
2026-03-19,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_19.csv,372547,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_03_19_full_heuristic,372547,124,0,0.0000,60,-3.5234,9.8922,-0.0606,-0.4814,0
2026-03-20,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_20.csv,580028,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_03_20_full_heuristic,580028,189,2946,0.0030,60,42.1113,3.6336,0.3568,3.6055,0
2026-03-23,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_23.csv,1105279,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_03_23_full_heuristic,1105279,797,29575,1.5087,60,176.8094,5.8887,0.7355,7.1666,0
