date,symbol,file_path,row_count,first_timestamp_ns,last_timestamp_ns,duration_minutes,min_bid,max_ask,mean_spread,median_spread,min_spread,max_spread,status
2026-03-02,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_02.csv,902935,1772461800009800507,1772465399974903439,59.9994,658.260000,699.030000,2.67325723,0.73291752,0.14591617,600.75591804,ok
2026-03-03,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_03.csv,1202713,1772548200011015469,1772551799974472793,59.9994,654.790000,695.360000,2.06158204,0.74274891,0.14770503,600.97026256,ok
2026-03-04,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_04.csv,832245,1772634600014985575,1772638199905623429,59.9982,661.250000,702.230000,2.94943291,0.87900497,0.14572268,601.10892716,ok
2026-03-05,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_05.csv,925158,1772721000023007409,1772724599821844048,59.9966,661.610000,702.610000,1.69382236,0.58487228,0.14587573,601.07607277,ok
2026-03-06,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_06.csv,1182855,1772807400014416810,1772810999995007684,59.9997,653.130000,693.620000,2.70108450,1.04012660,0.14830744,601.29942454,ok
2026-03-09,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_09.csv,1244714,1773063000004769050,1773066599959753084,59.9992,646.410000,686.470000,2.27195109,0.90334237,0.14990369,344.67429317,ok
2026-03-10,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_10.csv,723582,1773149400005096180,1773152999997209159,59.9999,657.220000,697.930000,2.64317335,1.03390469,0.14733725,600.81909752,ok
2026-03-11,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_11.csv,582400,1773235800018549457,1773239399925952092,59.9985,657.080000,697.790000,2.98761790,1.47507855,0.14711616,600.94326393,ok
2026-03-12,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_12.csv,489463,1773322200010464890,1773325799934445643,59.9987,650.940000,691.270000,2.98800196,1.04528316,0.14895027,600.94918083,ok
2026-03-13,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_13.csv,943635,1773408600008551702,1773412199928197014,59.9987,649.170000,689.380000,1.25430705,0.59790732,0.14874865,600.79937246,ok
2026-03-16,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_16.csv,812713,1773667800012502712,1773671399986249220,59.9996,648.250000,688.380000,1.53743827,0.44762423,0.14894362,600.46534942,ok
2026-03-17,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_17.csv,333314,1773754200015339290,1773757799934753479,59.9987,652.160000,692.550000,4.97682436,4.30640838,0.14828325,600.72431974,ok
2026-03-18,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_18.csv,821638,1773840600015338992,1773844199916440674,59.9984,648.250000,688.410000,2.32188383,0.59929583,0.14934401,600.90075262,ok
