portfolio_mode,seed,adverse_selection_bps,sessions,total_pnl_bps,avg_daily_pnl_bps,median_daily_pnl_bps,p05_daily_pnl_bps,p95_daily_pnl_bps,losing_days,loss_day_rate,minute_sharpe,worst_drawdown_bps,trade_count
full,1337,0.0,51,11372.986500,222.999735,210.210400,17.703200,479.663050,1,0.019608,0.635252582814,-20.361615,29632
full,2027,0.0,51,11149.166600,218.611110,212.379400,16.636300,456.125400,0,0.000000,0.709635003944,-18.431967,29291
full,9001,0.0,51,11229.088700,220.178210,199.007700,11.881650,475.567850,0,0.000000,0.631873284120,-13.809295,29571
full,1337,0.25,51,8342.812100,163.584551,141.880500,1.750150,389.134100,3,0.058824,0.544217063828,-45.830136,29348
full,2027,0.25,51,8353.051200,163.785318,144.977600,6.048100,390.946900,2,0.039216,0.494123742441,-38.177138,29071
full,9001,0.25,51,8244.390100,161.654708,153.994600,5.495650,390.775200,2,0.039216,0.512887032666,-19.627898,29227
full,1337,0.5,51,5419.368600,106.262129,84.903500,-8.735650,307.012700,8,0.156863,0.421461927850,-72.410841,28477
full,2027,0.5,51,5632.465400,110.440498,82.903100,-9.225500,320.354700,8,0.156863,0.346792544757,-61.715349,28113
full,9001,0.5,51,5500.211700,107.847288,84.314200,-11.166350,316.217350,7,0.137255,0.375387634055,-34.371308,28358
full,1337,1.0,51,703.840600,13.800796,-15.907100,-43.022000,192.177100,32,0.627451,0.070597827387,-419.397438,23008
full,2027,1.0,51,762.827100,14.957394,-10.195100,-43.728400,169.177850,29,0.568627,0.065988652380,-444.256407,22013
full,9001,1.0,51,879.370700,17.242563,-11.243200,-59.497350,178.012900,30,0.588235,0.063619816638,-454.055479,23131
full,1337,2.0,51,-1988.989600,-38.999796,-41.630700,-57.315650,-13.642450,49,0.960784,-0.207635498342,-2016.860196,8117
full,2027,2.0,51,-2132.988100,-41.823296,-41.781100,-63.262200,-24.018900,50,0.980392,-0.261102954914,-2149.702191,8925
full,9001,2.0,51,-1999.808700,-39.211935,-40.132900,-55.434550,-17.466700,50,0.980392,-0.221138561862,-2007.415048,8747
mm-only,1337,0.0,51,14323.515700,280.853249,271.159900,31.297900,589.872050,0,0.000000,0.761093435981,-8.608548,25743
mm-only,2027,0.0,51,14509.726800,284.504447,276.547900,41.598100,594.601850,0,0.000000,0.614569285457,-8.136264,25490
mm-only,9001,0.0,51,13775.825000,270.114216,253.823600,26.385450,535.601550,0,0.000000,0.693057855024,-10.263995,25596
mm-only,1337,0.25,51,10757.548000,210.932314,182.569300,22.452250,489.346300,0,0.000000,0.650846890493,-15.996266,25522
mm-only,2027,0.25,51,10927.208200,214.258984,184.331300,30.162100,514.385950,0,0.000000,0.508188003205,-12.334354,25336
mm-only,9001,0.25,51,10195.426100,199.910316,176.369300,14.108750,458.146750,0,0.000000,0.630122846873,-18.875750,25330
mm-only,1337,0.5,51,7302.194200,143.180278,120.256400,11.070950,403.229450,0,0.000000,0.503856249826,-26.253197,24783
mm-only,2027,0.5,51,7467.906100,146.429531,108.193200,16.188050,400.257950,0,0.000000,0.403614167287,-31.430976,24634
mm-only,9001,0.5,51,6985.611600,136.972776,113.624700,2.636250,388.225500,2,0.039216,0.487331502602,-36.996191,24452
mm-only,1337,1.0,51,2040.438300,40.008594,5.356400,-40.455650,234.274700,23,0.450980,0.125024313875,-238.908312,19466
mm-only,2027,1.0,51,1873.365800,36.732663,9.005800,-42.637900,220.201650,22,0.431373,0.158522131455,-296.729383,19411
mm-only,9001,1.0,51,1730.982900,33.940841,1.371600,-41.042550,198.906700,24,0.470588,0.110597040553,-302.296416,19492
mm-only,1337,2.0,51,-1135.321000,-22.261196,-23.997600,-41.102850,6.119200,47,0.921569,-0.149982251715,-1241.350079,4699
mm-only,2027,2.0,51,-1332.905900,-26.135410,-26.747400,-43.834300,-12.810000,50,0.980392,-0.175039581313,-1342.776735,5173
mm-only,9001,2.0,51,-1098.323000,-21.535745,-21.588000,-35.598350,-6.545500,50,0.980392,-0.168266090857,-1126.447893,4032
