date,symbol,file_path,row_count,prefix,processed_quotes,completed_trades,skipped_low_edge,missed_expected_edge_bps,return_intervals,total_net_return_bps,max_drawdown_bps,minute_return_sharpe,trade_sharpe_reference,latency_expired_signals
2026-03-02,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_02.csv,902935,build/real_quote_symbol_suite/spy/latency_100000us/spy_2026_03_02_full_heuristic,902903,656,32602,0.0000,60,482.8258,3.1490,0.9577,14.5281,32
2026-03-03,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_03.csv,1202713,build/real_quote_symbol_suite/spy/latency_100000us/spy_2026_03_03_full_heuristic,1202656,954,50795,12.5830,60,510.4033,4.2755,1.3850,13.7086,57
2026-03-04,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_04.csv,832245,build/real_quote_symbol_suite/spy/latency_100000us/spy_2026_03_04_full_heuristic,832244,1031,51027,20.2016,60,653.6953,10.2690,0.9889,21.7661,1
2026-03-05,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_05.csv,925158,build/real_quote_symbol_suite/spy/latency_100000us/spy_2026_03_05_full_heuristic,925150,678,41172,0.6977,60,459.4687,4.4574,0.8481,15.6026,8
2026-03-06,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_06.csv,1182855,build/real_quote_symbol_suite/spy/latency_100000us/spy_2026_03_06_full_heuristic,1182806,691,34688,1.3708,60,292.1404,5.7749,0.9984,11.5505,49
2026-03-09,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_09.csv,1244714,build/real_quote_symbol_suite/spy/latency_100000us/spy_2026_03_09_full_heuristic,1244651,1076,53007,6.2723,60,412.8699,6.6530,0.3431,2.7544,63
2026-03-10,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_10.csv,723582,build/real_quote_symbol_suite/spy/latency_100000us/spy_2026_03_10_full_heuristic,723566,430,19350,1.3022,60,149.9015,3.6232,0.8219,9.0967,16
2026-03-11,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_11.csv,582400,build/real_quote_symbol_suite/spy/latency_100000us/spy_2026_03_11_full_heuristic,582398,428,18132,0.0524,60,174.6076,7.3825,0.6510,9.0814,2
2026-03-12,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_12.csv,489463,build/real_quote_symbol_suite/spy/latency_100000us/spy_2026_03_12_full_heuristic,489459,446,17059,0.0001,60,246.5152,3.4765,0.9886,13.8217,4
2026-03-13,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_13.csv,943635,build/real_quote_symbol_suite/spy/latency_100000us/spy_2026_03_13_full_heuristic,943614,478,29839,6.7757,60,85.0076,7.5293,0.4822,4.6563,21
2026-03-16,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_16.csv,812713,build/real_quote_symbol_suite/spy/latency_100000us/spy_2026_03_16_full_heuristic,812688,759,51280,136.7151,60,258.8948,11.1135,0.8351,12.7322,25
2026-03-17,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_17.csv,333314,build/real_quote_symbol_suite/spy/latency_100000us/spy_2026_03_17_full_heuristic,333291,228,764,1.9197,60,34.4381,4.7431,0.3724,3.0947,23
2026-03-18,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_18.csv,821638,build/real_quote_symbol_suite/spy/latency_100000us/spy_2026_03_18_full_heuristic,821635,844,39011,2.1545,60,425.7678,6.3641,1.0505,15.5894,3
2026-03-19,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_19.csv,372547,build/real_quote_symbol_suite/spy/latency_100000us/spy_2026_03_19_full_heuristic,372545,124,0,0.0000,60,-3.5234,9.8922,-0.0606,-0.4814,2
2026-03-20,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_20.csv,580028,build/real_quote_symbol_suite/spy/latency_100000us/spy_2026_03_20_full_heuristic,580017,189,2946,0.0030,60,42.7275,3.6336,0.3603,3.6381,11
2026-03-23,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_23.csv,1105279,build/real_quote_symbol_suite/spy/latency_100000us/spy_2026_03_23_full_heuristic,1105228,797,29575,1.4578,60,182.5184,6.0355,0.7392,7.2401,51
2026-03-24,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_24.csv,945895,build/real_quote_symbol_suite/spy/latency_100000us/spy_2026_03_24_full_heuristic,945824,468,21906,0.0000,60,163.9791,8.6851,0.7788,7.6378,71
