portfolio_mode,adverse_selection_bps,runs,mean_total_pnl_bps,median_total_pnl_bps,p05_total_pnl_bps,mean_minute_sharpe,median_minute_sharpe,p05_minute_sharpe,mean_worst_drawdown_bps,worst_drawdown_bps,positive_pnl_run_rate
full,0.0,3,11250.413933,11229.088700,11157.158810,0.658920290293,0.635252582814,0.632211213989,-17.534292,-20.361615,1.000000
full,0.25,3,8313.417800,8342.812100,8254.232300,0.517075946312,0.512887032666,0.496000071464,-34.545057,-45.830136,1.000000
full,0.5,3,5517.348567,5500.211700,5427.452910,0.381214035554,0.375387634055,0.349652053687,-56.165833,-72.410841,1.000000
full,1.0,3,782.012800,762.827100,709.739250,0.066735432135,0.065988652380,0.063856700212,-439.236441,-454.055479,1.000000
full,2.0,3,-2040.595467,-1999.808700,-2119.670160,-0.229959005039,-0.221138561862,-0.257106515609,-2057.992478,-2149.702191,0.000000
mm-only,0.0,3,14203.022500,14323.515700,13830.594070,0.689573525487,0.693057855024,0.622418142414,-9.002936,-10.263995,1.000000
mm-only,0.25,3,10626.727433,10757.548000,10251.638290,0.596385913524,0.630122846873,0.520381487572,-15.735457,-18.875750,1.000000
mm-only,0.5,3,7251.903967,7302.194200,7017.269860,0.464933973238,0.487331502602,0.411985900819,-31.560121,-36.996191,1.000000
mm-only,1.0,3,1881.595667,1873.365800,1745.221190,0.131381161961,0.125024313875,0.112039767885,-279.311370,-302.296416,1.000000
mm-only,2.0,3,-1188.849967,-1135.321000,-1313.147410,-0.164429307962,-0.168266090857,-0.174362232267,-1236.858236,-1342.776735,0.000000
