"Label","Date","Prefix","ProcessedQuotes","CompletedTrades","SkippedLowEdge","MissedExpectedEdgeBps","ReturnIntervals","TotalNetReturnBps","MaxDrawdownBps","MinuteReturnSharpe","TradeSharpeReference"
"full_heuristic","2026-03-02","original_full_run\full_heuristic\spy_2026_03_02","902935","656","32602","0","60","468.9915","3.149","0.9625","14.4519"
"full_heuristic","2026-03-03","original_full_run\full_heuristic\spy_2026_03_03","1202713","954","50795","12.6847","60","495.1746","4.1265","1.3823","13.6321"
"full_heuristic","2026-03-04","original_full_run\full_heuristic\spy_2026_03_04","832245","1031","51027","20.0946","60","635.6045","10.269","0.9868","21.7138"
"full_heuristic","2026-03-05","original_full_run\full_heuristic\spy_2026_03_05","925158","678","41172","0.6977","60","444.8435","4.4574","0.8494","15.5412"
"full_heuristic","2026-03-06","original_full_run\full_heuristic\spy_2026_03_06","810000","454","18304","1.3503","39","129.1918","5.7749","0.8246","6.6937"
"full_heuristic","2026-03-09","original_full_run\full_heuristic\spy_2026_03_09","1244714","1076","53007","6.5327","60","399.2319","6.653","0.3433","2.7596"
"full_heuristic","2026-03-16","original_full_run\full_heuristic\spy_2026_03_16","812713","759","51282","133.4649","60","251.5315","11.1135","0.833","12.6464"
"full_heuristic","2026-03-17","original_full_run\full_heuristic\spy_2026_03_17","333314","228","764","1.9197","60","34.3949","4.7431","0.3723","3.0913"
"full_heuristic","2026-03-18","original_full_run\full_heuristic\spy_2026_03_18","821638","844","39011","2.1209","60","413.3309","6.3641","1.0427","15.4841"
"full_heuristic","2026-03-19","original_full_run\full_heuristic\spy_2026_03_19","372547","124","0","0","60","-3.5234","9.8922","-0.0606","-0.4814"
"full_heuristic","2026-03-20","original_full_run\full_heuristic\spy_2026_03_20","580028","189","2946","0.003","60","42.1113","3.6336","0.3568","3.6055"
"full_heuristic","2026-03-23","original_full_run\full_heuristic\spy_2026_03_23","1105279","797","29575","1.5087","60","176.8094","5.8887","0.7355","7.1666"
"full_heuristic","2026-03-24","original_full_run\full_heuristic\spy_2026_03_24","945895","468","21906","0","60","158.606","8.6851","0.7735","7.5785"
"full_heuristic","2026-03-25","original_full_run\full_heuristic\spy_2026_03_25","835290","895","33714","0","60","219.7342","5.8572","0.8017","8.4269"
"full_heuristic","2026-03-26","original_full_run\full_heuristic\spy_2026_03_26","308049","83","0","0","60","6.2094","3.2607","0.1396","1.0005"
"full_heuristic","2026-03-27","original_full_run\full_heuristic\spy_2026_03_27","644500","139","608","0","60","12.5789","4.7451","0.1832","1.6009"
"full_heuristic","2026-04-01","original_full_run\full_heuristic\spy_2026_04_01","603643","240","2617","0","60","22.8275","9.6639","0.232","1.8345"
"full_heuristic","2026-04-02","original_full_run\full_heuristic\spy_2026_04_02","961066","917","99806","15.0426","61","239.6634","24.7019","0.6145","8.1238"
"full_heuristic","2026-04-06","original_full_run\full_heuristic\spy_2026_04_06","408932","169","1416","0","60","28.8394","3.9375","0.3708","2.5816"
"full_heuristic","2026-04-07","original_full_run\full_heuristic\spy_2026_04_07","584767","892","24646","0","61","194.4818","12.7329","0.7545","7.3253"
"full_heuristic","2026-04-08","original_full_run\full_heuristic\spy_2026_04_08","664570","544","22231","1.5731","61","103.5095","8.2588","0.6345","5.9657"
"full_heuristic","2026-04-09","original_full_run\full_heuristic\spy_2026_04_09","465035","562","24414","6.5599","60","278.9344","3.2563","1.1746","14.6643"
"full_heuristic","2026-04-10","original_full_run\full_heuristic\spy_2026_04_10","342419","633","17304","15.3884","61","257.8017","3.0502","0.9942","13.6192"
"full_heuristic","2026-04-13","original_full_run\full_heuristic\spy_2026_04_13","151546","252","1142","0","61","83.6147","1.9648","0.5556","7.7339"
"full_heuristic","2026-04-14","original_full_run\full_heuristic\spy_2026_04_14","361550","697","18038","42.8951","61","451.1871","2.7415","1.3258","18.1679"
"full_heuristic","2026-04-15","original_full_run\full_heuristic\spy_2026_04_15","344214","903","26041","96.8981","61","490.3346","3.2003","1.2837","19.5597"
"full_heuristic","2026-04-16","original_full_run\full_heuristic\spy_2026_04_16","438305","644","22883","6.3375","60","317.4105","5.4808","1.0002","15.2374"
"full_heuristic","2026-04-17","original_full_run\full_heuristic\spy_2026_04_17","287108","281","5326","0.4972","61","73.5391","6.348","0.5373","6.1063"
"full_heuristic","2026-04-20","original_full_run\full_heuristic\spy_2026_04_20","325879","793","16059","6.9348","60","277.5402","4.6529","0.9984","12.6153"
"full_heuristic","2026-04-21","original_full_run\full_heuristic\spy_2026_04_21","283323","788","13826","7.9004","61","300.2321","3.3982","1.2075","13.1435"
"mm_only","2026-03-02","original_full_run\mm_only\spy_2026_03_02","902935","578","0","0","60","617.9022","4.291","1.0605","15.9025"
"mm_only","2026-03-03","original_full_run\mm_only\spy_2026_03_03","1202713","849","0","0","60","604.2139","6.5374","1.3171","14.2184"
"mm_only","2026-03-04","original_full_run\mm_only\spy_2026_03_04","832245","935","20","24.3565","60","733.3257","4.2574","1.0746","21.1608"
"mm_only","2026-03-05","original_full_run\mm_only\spy_2026_03_05","925158","629","0","0","60","567.6886","3.6167","1.0904","16.9543"
"mm_only","2026-03-06","original_full_run\mm_only\spy_2026_03_06","810000","392","8","1.3754","39","240.8102","5.4124","1.0548","9.4237"
"mm_only","2026-03-09","original_full_run\mm_only\spy_2026_03_09","1244714","960","0","0","60","451.1589","5.3652","0.9197","12.2988"
"mm_only","2026-03-16","original_full_run\mm_only\spy_2026_03_16","812713","680","286","198.2265","60","341.5841","5.3215","1.099","14.2165"
"mm_only","2026-03-17","original_full_run\mm_only\spy_2026_03_17","333314","156","4","1.2014","60","73.1362","4.4058","0.5124","5.1146"
"mm_only","2026-03-18","original_full_run\mm_only\spy_2026_03_18","821638","790","3","2.5349","60","581.1819","7.3697","1.2246","18.0151"
"mm_only","2026-03-19","original_full_run\mm_only\spy_2026_03_19","372547","58","0","0","60","29.4685","1.9223","0.4564","3.444"
"mm_only","2026-03-20","original_full_run\mm_only\spy_2026_03_20","580028","112","0","0","60","62.3064","1.7836","0.4159","5.5506"
"mm_only","2026-03-23","original_full_run\mm_only\spy_2026_03_23","1105279","715","153","28.1315","60","260.3573","6.525","0.6243","8.3023"
"mm_only","2026-03-24","original_full_run\mm_only\spy_2026_03_24","945895","385","0","0","60","223.0459","6.9113","0.7398","9.4914"
"mm_only","2026-03-25","original_full_run\mm_only\spy_2026_03_25","835290","816","1","0.1616","60","273.8983","11.3322","0.8344","8.2686"
"mm_only","2026-03-26","original_full_run\mm_only\spy_2026_03_26","308049","54","0","0","60","14.1889","3.9111","0.2016","2.0095"
"mm_only","2026-03-27","original_full_run\mm_only\spy_2026_03_27","644500","66","0","0","60","31.1199","2.4477","0.3877","3.3016"
"mm_only","2026-04-01","original_full_run\mm_only\spy_2026_04_01","603643","170","0","0","60","36.1484","6.0965","0.3425","2.3247"
"mm_only","2026-04-02","original_full_run\mm_only\spy_2026_04_02","961066","800","0","0","61","325.0715","11.4796","0.8249","9.3863"
"mm_only","2026-04-06","original_full_run\mm_only\spy_2026_04_06","408932","97","0","0","60","21.7652","6.0163","0.261","2.0449"
"mm_only","2026-04-07","original_full_run\mm_only\spy_2026_04_07","584767","828","0","0","61","243.2607","10.2482","0.886","7.6535"
"mm_only","2026-04-08","original_full_run\mm_only\spy_2026_04_08","664570","456","75","13.8528","61","135.3443","4.2141","0.7555","7.5691"
"mm_only","2026-04-09","original_full_run\mm_only\spy_2026_04_09","465035","477","9","6.8159","60","338.0393","3.5134","0.9604","16.0545"
"mm_only","2026-04-10","original_full_run\mm_only\spy_2026_04_10","342419","553","20","15.0406","61","281.4748","2.6257","0.9687","13.34"
"mm_only","2026-04-13","original_full_run\mm_only\spy_2026_04_13","151546","180","0","0","61","119.0984","1.7246","0.5983","11.2048"
"mm_only","2026-04-14","original_full_run\mm_only\spy_2026_04_14","361550","627","38","44.6045","61","541.804","2.4535","1.4526","20.0642"
"mm_only","2026-04-15","original_full_run\mm_only\spy_2026_04_15","344214","799","126","100.9682","61","573.284","2.6855","1.1059","20.017"
"mm_only","2026-04-16","original_full_run\mm_only\spy_2026_04_16","438305","573","9","7.3539","60","406.5795","2.8983","1.1691","16.4884"
"mm_only","2026-04-17","original_full_run\mm_only\spy_2026_04_17","287108","199","3","0.5233","61","91.7149","2.6644","0.617","7.4681"
"mm_only","2026-04-20","original_full_run\mm_only\spy_2026_04_20","325879","719","9","6.2737","60","345.5342","2.679","1.142","15.7588"
"mm_only","2026-04-21","original_full_run\mm_only\spy_2026_04_21","283323","699","13","9.0799","61","379.9943","3.8953","1.138","14.5594"
"full_ml","2026-03-27","original_full_run\full_ml\spy_2026_03_27","644500","48","4157","208.2501","60","33.4395","2.2078","0.3949","3.8612"
"full_ml","2026-04-01","original_full_run\full_ml\spy_2026_04_01","603643","85","7822","445.6979","60","70.4586","3.8747","0.5843","6.6678"
"full_ml","2026-04-02","original_full_run\full_ml\spy_2026_04_02","961066","463","119409","3438.353","61","379.1363","3.9856","0.8011","13.6203"
"full_ml","2026-04-06","original_full_run\full_ml\spy_2026_04_06","408932","71","4838","108.3144","60","63.5956","3.5827","0.4252","5.5039"
"full_ml","2026-04-07","original_full_run\full_ml\spy_2026_04_07","584767","508","41083","2121.0867","61","341.2321","3.8527","0.9245","12.5027"
"full_ml","2026-04-08","original_full_run\full_ml\spy_2026_04_08","664570","202","37811","3062.5579","61","147.5373","3.1932","0.8959","10.8281"
"full_ml","2026-04-09","original_full_run\full_ml\spy_2026_04_09","465035","404","33103","1584.0483","60","326.615","6.1547","0.8298","16.6879"
"full_ml","2026-04-10","original_full_run\full_ml\spy_2026_04_10","342419","410","28752","2049.0484","61","332.7617","1.8395","1.0497","18.0137"
"full_ml","2026-04-13","original_full_run\full_ml\spy_2026_04_13","151546","155","4334","136.1298","61","119.2857","2.349","0.5415","10.8756"
"full_ml","2026-04-14","original_full_run\full_ml\spy_2026_04_14","361550","447","30943","2184.147","61","460.1623","2.7813","1.3608","20.4407"
"full_ml","2026-04-15","original_full_run\full_ml\spy_2026_04_15","344214","588","43041","3275.4522","61","591.0276","1.7871","1.1147","24.5041"
"full_ml","2026-04-16","original_full_run\full_ml\spy_2026_04_16","438305","453","32923","1670.1104","60","409.6903","1.7028","1.1615","18.6885"
