symbol,variant,portfolio_mode,min_edge_bps,sessions,total_pnl_bps,avg_daily_return_bps,minute_sharpe,daily_sharpe,annualized_daily_sharpe,worst_drawdown_bps,trade_count,daily_results,summary_file
SPY,baseline,mm-only,0.20,51,14323.515700,280.853249,0.761093435981,1.554234534910,24.672708350635,-8.608548,25743,build/real_quote_symbol_suite/spy/real_quote_backtest_mm_only/daily_results.csv,hft_microstructure/Results/alpaca_spy_real_quote_mm_only_summary.csv
SPY,edge_sweep,mm-only,0.30,51,14110.674700,276.679896,0.768972405674,1.545953593620,24.541252482989,-8.608548,25666,build/sharpe_experiments/spy_mm_edge030/daily_results.csv,build/sharpe_experiments/spy_mm_edge030/results_summary.csv
SPY,edge_sweep,mm-only,0.40,51,14285.256800,280.103075,0.648266137689,1.563491800284,24.819662882648,-8.608548,25119,build/sharpe_experiments/spy_mm_edge040/daily_results.csv,build/sharpe_experiments/spy_mm_edge040/results_summary.csv
SPY,edge_sweep,mm-only,0.55,51,14333.934400,281.057537,0.645626988327,1.528176403608,24.259048340307,-8.799399,23636,build/sharpe_experiments/spy_mm_edge055/daily_results.csv,build/sharpe_experiments/spy_mm_edge055/results_summary.csv
SPY,edge_sweep,mm-only,0.75,51,12920.259000,253.338412,0.708783027419,1.519546313588,24.122049908395,-9.186437,20082,build/sharpe_experiments/spy_mm_edge075/daily_results.csv,build/sharpe_experiments/spy_mm_edge075/results_summary.csv
QQQ,baseline,mm-only,0.20,51,11660.652700,228.640249,0.453262584975,1.581414772293,25.104181242783,-14.300815,35247,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/daily_results.csv,hft_microstructure/Results/alpaca_qqq_real_quote_mm_only_summary.csv
QQQ,edge_sweep,mm-only,0.30,51,11350.481100,222.558453,0.577318863020,1.528250197239,24.260219777872,-12.148371,34247,build/sharpe_experiments/qqq_mm_edge030/daily_results.csv,build/sharpe_experiments/qqq_mm_edge030/results_summary.csv
QQQ,edge_sweep,mm-only,0.40,51,10891.398000,213.556824,0.554027566377,1.564968245004,24.843100715962,-12.827378,31744,build/sharpe_experiments/qqq_mm_edge040/daily_results.csv,build/sharpe_experiments/qqq_mm_edge040/results_summary.csv
QQQ,edge_sweep,mm-only,0.55,51,11109.899500,217.841167,0.441236686843,1.366507803150,21.692638870583,-11.458107,27170,build/sharpe_experiments/qqq_mm_edge055/daily_results.csv,build/sharpe_experiments/qqq_mm_edge055/results_summary.csv
QQQ,edge_sweep,mm-only,0.75,51,8447.141600,165.630227,0.440879860995,1.152866819226,18.301193390705,-7.166867,18060,build/sharpe_experiments/qqq_mm_edge075/daily_results.csv,build/sharpe_experiments/qqq_mm_edge075/results_summary.csv
IWM,baseline,mm-only,0.20,51,6209.212600,121.749267,0.381904853326,1.571350235248,24.944411670294,-12.155251,17080,build/real_quote_symbol_suite/iwm/real_quote_backtest_mm_only/daily_results.csv,hft_microstructure/Results/alpaca_iwm_real_quote_mm_only_summary.csv
IWM,edge_sweep,mm-only,0.30,51,6244.076100,122.432865,0.309107059124,1.363709819624,21.648222259094,-13.287593,15764,build/sharpe_experiments/iwm_mm_edge030/daily_results.csv,build/sharpe_experiments/iwm_mm_edge030/results_summary.csv
IWM,edge_sweep,mm-only,0.40,51,5884.906600,115.390325,0.366286743360,1.565392211222,24.849830971031,-13.758741,14325,build/sharpe_experiments/iwm_mm_edge040/daily_results.csv,build/sharpe_experiments/iwm_mm_edge040/results_summary.csv
IWM,edge_sweep,mm-only,0.55,51,6412.913700,125.743406,0.295135533153,1.310492165365,20.803418187920,-9.853706,12480,build/sharpe_experiments/iwm_mm_edge055/daily_results.csv,build/sharpe_experiments/iwm_mm_edge055/results_summary.csv
IWM,edge_sweep,mm-only,0.75,51,5375.242600,105.396914,0.397095592162,1.571753005318,24.950805446937,-13.737053,9621,build/sharpe_experiments/iwm_mm_edge075/daily_results.csv,build/sharpe_experiments/iwm_mm_edge075/results_summary.csv
