timestamp_ns,event_index,sleeve_id,sleeve,side,reason,forecast_edge_bps,signal_expected_edge_bps,effective_min_edge_bps,score,conviction,spread_bps_1s,spread_bps_100ms,microprice_edge_100ms_bps,microprice_edge_1s_bps,quote_rate_1s,target_weight,fill_probability
1776259800230000000,24,0,Market Making,long,entry_fill_not_sampled,1.51695941,1.51695941,0.20000000,0.63381531,1.00000000,2.19998788,2.19997748,0.67799315,0.69668472,24.00000000,0.95000000,0.07276168
1776259800240000000,25,0,Market Making,long,entry_fill_not_sampled,1.52267472,1.52267472,0.20000000,0.64514330,1.00000000,2.19998735,2.19997693,0.69364279,0.69906698,25.00000000,0.95000000,0.06944694
1776259800250000000,26,0,Market Making,long,entry_fill_not_sampled,1.52377985,1.52377985,0.20000000,0.64733611,1.00000000,2.19998682,2.19997638,0.69666168,0.69955503,26.00000000,0.95000000,0.07013072
1776259800260000000,27,0,Market Making,long,entry_fill_not_sampled,1.52245590,1.52245590,0.20000000,0.64468908,1.00000000,2.19998630,2.19997584,0.69316913,0.69854239,27.00000000,0.95000000,0.07069086
1776259800270000000,28,0,Market Making,long,entry_fill_not_sampled,1.52681530,1.52681530,0.20000000,0.65339395,1.00000000,2.19998577,2.19997529,0.70473600,0.70165531,28.00000000,0.95000000,0.06766014
1776259800280000000,29,0,Market Making,long,entry_fill_not_sampled,1.52493126,1.52493126,0.20000000,0.64963420,1.00000000,2.19998523,2.19997474,0.69976435,0.70021861,29.00000000,0.95000000,0.07290743
1776259800300000000,31,0,Market Making,long,reentry_cooldown,1.54069794,1.54069794,0.20000000,0.68054324,1.00000000,2.19998417,2.19996815,0.74515050,0.69903973,31.00000000,0.95000000,0.00000000
1776259800310000000,32,0,Market Making,long,reentry_cooldown,1.53279744,1.53279744,0.20000000,0.66503108,1.00000000,2.19998363,2.19996761,0.72257001,0.69906941,32.00000000,0.95000000,0.00000000
1776259800320000000,33,0,Market Making,long,reentry_cooldown,1.52537770,1.52537770,0.20000000,0.65040675,1.00000000,2.19998310,2.19996706,0.70170994,0.69788518,33.00000000,0.95000000,0.00000000
1776259800330000000,34,0,Market Making,long,reentry_cooldown,1.53214897,1.53214897,0.20000000,0.66380881,1.00000000,2.19998256,2.19996652,0.72039700,0.70019615,34.00000000,0.95000000,0.00000000
1776259800340000000,35,0,Market Making,long,reentry_cooldown,1.53314802,1.53314802,0.20000000,0.66581555,1.00000000,2.19998203,2.19996598,0.72298186,0.70114258,35.00000000,0.95000000,0.00000000
1776259800350000000,36,0,Market Making,long,reentry_cooldown,1.52588934,1.52588934,0.20000000,0.65144551,1.00000000,2.19998149,2.19996543,0.70302081,0.69842239,36.00000000,0.95000000,0.00000000
