entry_timestamp_ns,exit_timestamp_ns,entry_event_index,exit_event_index,sleeve_id,sleeve,side,entry_reason,exit_reason,execution_type,portfolio_weight,forecast_edge_bps,signal_expected_edge_bps,ml_win_probability,score,conviction,entry_fill_price,exit_fill_price,entry_mid_price,exit_mid_price,entry_spread_bps,exit_spread_bps,gross_pnl_bps,transaction_cost_bps,execution_haircut_bps,adverse_selection_bps,net_pnl_bps,weighted_net_pnl_bps,sleeve_inventory_after_trade,entry_feature_spread_bps_1s,entry_feature_spread_bps_100ms,entry_feature_side_imbalance_100ms,entry_feature_side_imbalance_1s,entry_feature_side_microprice_edge_100ms_bps,entry_feature_side_microprice_edge_1s_bps,entry_feature_quote_rate_1s_scaled,entry_feature_avg_bid_size_1s_scaled,entry_feature_avg_ask_size_1s_scaled,entry_feature_regime_quality,entry_feature_conviction,entry_feature_abs_score,entry_feature_signal_expected_edge_bps
1776259800290000000,1776259800300000000,30,31,0,Market Making,long,signal_entry,take_profit,passive,0.60771196,1.52182357,1.52182357,0.50000000,0.64341300,1.00000000,499.95198900,500.06223800,500.00698900,500.00723800,2.19998470,2.19998417,2.20519175,0.06000000,1.93998733,0.00000000,0.20520441,0.12470518,0.00000000,2.19998470,2.19997419,0.62879105,0.63409777,0.69166205,0.69750270,0.30000000,0.02683333,0.00600000,0.00000000,1.00000000,0.64341300,1.52182357
1776259800820000000,1776259800830000000,83,84,0,Market Making,long,signal_entry,take_profit,passive,0.48070749,1.52921776,1.52921776,0.50000000,0.65807198,1.00000000,499.96233100,500.07248100,500.01733100,500.01748100,2.19995855,2.19995812,2.20316598,0.06000000,1.93996650,0.00000000,0.20319948,0.09767951,0.00000000,2.19995855,2.19992441,0.64744928,0.63620427,0.71216973,0.69981151,0.83000000,0.02696386,0.00598795,0.00000000,1.00000000,0.65807198,1.52921776
1776259801300000000,1776259801310000000,131,132,0,Market Making,long,signal_entry,take_profit,passive,0.41569172,1.52902750,1.52902750,0.50000000,0.65773996,1.00000000,499.97190000,500.08214900,500.02690000,500.02714900,2.19992078,2.19992034,2.20510393,0.06000000,1.93993627,0.00000000,0.20516765,0.08528649,0.00000000,2.19992078,2.19988165,0.64705882,0.63608498,0.71172642,0.69966828,0.91000000,0.02700000,0.00600000,0.00000000,1.00000000,0.65773996,1.52902750
1776259801710000000,1776259801720000000,172,173,0,Market Making,long,signal_entry,take_profit,passive,0.67702358,1.52306467,1.52306467,0.50000000,0.64607771,1.00000000,499.98092000,500.09108800,500.03592000,500.03608800,2.19988520,2.19988472,2.20344408,0.06000000,1.93990778,0.00000000,0.20353630,0.13779888,0.00000000,2.19988520,2.19984234,0.63162879,0.63610738,0.69474186,0.69968161,0.92000000,0.02700000,0.00600000,0.00000000,1.00000000,0.64607771,1.52306467
1776259802120000000,1776259802130000000,213,214,0,Market Making,long,signal_entry,take_profit,passive,0.43466777,1.51645127,1.51645127,0.50000000,0.63311916,1.00000000,499.98760200,500.09780000,500.04260200,500.04280000,2.19984881,2.19984841,2.20401465,0.06000000,1.93987873,0.00000000,0.20413592,0.08873130,0.00000000,2.19984881,2.19981342,0.61461107,0.63576393,0.67601485,0.69929228,0.93000000,0.02696774,0.00600000,0.00000000,1.00000000,0.63311916,1.51645127
1776259802650000000,1776259802660000000,266,267,0,Market Making,long,signal_entry,take_profit,passive,0.74371910,1.52684921,1.52684921,0.50000000,0.65364047,1.00000000,499.99989600,500.11009900,500.05489600,500.05509900,2.19980440,2.19980392,2.20406046,0.06000000,1.93984313,0.00000000,0.20421732,0.15188032,0.00000000,2.19980440,2.19976079,0.64147200,0.63657418,0.70554246,0.70016933,0.96000000,0.02705208,0.00600000,0.00000000,1.00000000,0.65364047,1.52684921
1776259803250000000,1776259803260000000,326,327,0,Market Making,long,signal_entry,take_profit,passive,0.53105748,1.52369284,1.52369284,0.50000000,0.64746595,1.00000000,500.01023700,500.12045300,500.06523700,500.06545300,2.19975088,2.19975048,2.20427487,0.06000000,1.93980038,0.00000000,0.20447449,0.10858770,0.00000000,2.19975088,2.19971530,0.63361330,0.63571114,0.69688444,0.69920307,0.96000000,0.02696875,0.00600000,0.00000000,1.00000000,0.64746595,1.52369284
1776259803660000000,1776259803670000000,367,368,0,Market Making,long,signal_entry,take_profit,passive,0.44670661,1.52731233,1.52731233,0.50000000,0.65466228,1.00000000,500.02002200,500.13024100,500.07502200,500.07524100,2.19971595,2.19971547,2.20429173,0.06000000,1.93977238,0.00000000,0.20451936,0.09136015,0.00000000,2.19971595,2.19967294,0.64283929,0.63655690,0.70701811,0.70012219,0.97000000,0.02700000,0.00598969,0.00000000,1.00000000,0.65466228,1.52731233
1776259804080000000,1776259804090000000,409,410,0,Market Making,long,signal_entry,take_profit,passive,0.70690631,1.52307134,1.52307134,0.50000000,0.64635005,1.00000000,500.02726700,500.13742300,500.08226700,500.08242300,2.19967931,2.19967889,2.20299986,0.06000000,1.93974312,0.00000000,0.20325675,0.14368348,0.00000000,2.19967931,2.19964077,0.63205953,0.63595206,0.69515196,0.69944530,0.99000000,0.02698990,0.00600000,0.00000000,1.00000000,0.64635005,1.52307134
1776259804520000000,1776259804530000000,453,454,0,Market Making,long,signal_entry,take_profit,passive,0.63971748,1.52532451,1.52532451,0.50000000,0.65083900,1.00000000,500.03637700,500.14662700,500.09137700,500.09162700,2.19963835,2.19963791,2.20483959,0.06000000,1.93971032,0.00000000,0.20512926,0.13122478,0.00000000,2.19963835,2.19959911,0.63792766,0.63615930,0.70159258,0.69966022,0.93000000,0.02701075,0.00600000,0.00000000,1.00000000,0.65083900,1.52532451
