source_dataset,date,ticker,weight,final_signal,volatility,inverse_vol_score,selected_flag
medium_term_alpha\Results\sample_prices.csv,2023-07-31,AAPL,0.0,0.13502119715778788,0.1621402404108473,6.167500414863696,False
medium_term_alpha\Results\sample_prices.csv,2023-07-31,MSFT,0.0,0.20621841361653864,0.2420976502056279,4.130564667400285,False
medium_term_alpha\Results\sample_prices.csv,2023-07-31,AMZN,0.0,-0.3173485001652414,0.27604575029957745,3.622587918541598,False
medium_term_alpha\Results\sample_prices.csv,2023-07-31,GOOGL,0.0,-0.13996911548317784,0.28219253462447125,3.5436798543616814,False
medium_term_alpha\Results\sample_prices.csv,2023-07-31,NVDA,0.06,2.219155533528668,0.6078618400358847,1.645110671762132,True
medium_term_alpha\Results\sample_prices.csv,2023-07-31,JPM,0.0,-0.1735065610240079,0.1838266012620803,5.439909094409611,False
medium_term_alpha\Results\sample_prices.csv,2023-07-31,XOM,0.0,-1.000590162885318,0.2448939604348454,4.083400008004903,False
medium_term_alpha\Results\sample_prices.csv,2023-07-31,UNH,0.0,-0.9289808047452496,0.2577744810552376,3.879359958000317,False
medium_term_alpha\Results\sample_prices.csv,2023-08-31,AAPL,0.0,-0.8583062611789277,0.19067465399253855,5.244535542931321,False
medium_term_alpha\Results\sample_prices.csv,2023-08-31,MSFT,0.0,-0.21123295421992253,0.2336197384804334,4.280460232103864,False
medium_term_alpha\Results\sample_prices.csv,2023-08-31,AMZN,0.0,0.20207433379854253,0.3050953394648599,3.277663964824928,False
medium_term_alpha\Results\sample_prices.csv,2023-08-31,GOOGL,0.0,0.24874499140187062,0.26596555793570487,3.7598853316253162,False
medium_term_alpha\Results\sample_prices.csv,2023-08-31,NVDA,0.06,2.203451618768661,0.4124654370817515,2.424445565851856,True
medium_term_alpha\Results\sample_prices.csv,2023-08-31,JPM,0.0,-0.16737256205168974,0.16529394641649917,6.049828331161334,False
medium_term_alpha\Results\sample_prices.csv,2023-08-31,XOM,0.0,-0.3708062492227552,0.2141759904104028,4.669057433019479,False
medium_term_alpha\Results\sample_prices.csv,2023-08-31,UNH,0.0,-1.0465529172957788,0.263388213503598,3.7966771052431305,False
medium_term_alpha\Results\sample_prices.csv,2023-09-29,AAPL,0.0,-1.417090347246437,0.21233687632410228,4.7094975555430185,False
medium_term_alpha\Results\sample_prices.csv,2023-09-29,MSFT,0.0,-0.991868275806848,0.21639190171102315,4.621245028547476,False
medium_term_alpha\Results\sample_prices.csv,2023-09-29,AMZN,0.0,-0.1792456311899573,0.3171862291318048,3.1527219915479248,False
medium_term_alpha\Results\sample_prices.csv,2023-09-29,GOOGL,0.0,0.4005540228972218,0.25567945723311725,3.9111472263813676,False
medium_term_alpha\Results\sample_prices.csv,2023-09-29,NVDA,0.0,-0.23637257315514743,0.38903174514456723,2.5704843177473657,False
medium_term_alpha\Results\sample_prices.csv,2023-09-29,JPM,0.0,0.4877576513950645,0.15201627578255827,6.578242986496949,False
medium_term_alpha\Results\sample_prices.csv,2023-09-29,XOM,0.06,1.8756398377438848,0.2259629470478111,4.425504327434762,True
medium_term_alpha\Results\sample_prices.csv,2023-09-29,UNH,0.0,0.06062531536221828,0.2222478899979557,4.499480287570776,False
medium_term_alpha\Results\sample_prices.csv,2023-10-31,AAPL,0.0,-0.9619920834363169,0.22046274217407918,4.535913824433844,False
medium_term_alpha\Results\sample_prices.csv,2023-10-31,MSFT,0.0,0.5873693373690615,0.2066573674290253,4.838927411302873,False
medium_term_alpha\Results\sample_prices.csv,2023-10-31,AMZN,0.0,-0.1950443738060191,0.3686114446215429,2.7128837549433933,False
medium_term_alpha\Results\sample_prices.csv,2023-10-31,GOOGL,0.06,1.2284900709220852,0.2864302367386408,3.491251522137555,True
medium_term_alpha\Results\sample_prices.csv,2023-10-31,NVDA,0.06,1.4276691528485506,0.4076691356044063,2.452969608595484,True
medium_term_alpha\Results\sample_prices.csv,2023-10-31,JPM,0.0,-0.891402109690403,0.15840815347892848,6.312806367842804,False
medium_term_alpha\Results\sample_prices.csv,2023-10-31,XOM,0.0,-1.1611855530140518,0.24623499080559444,4.061161237598081,False
medium_term_alpha\Results\sample_prices.csv,2023-10-31,UNH,0.0,-0.033904441192906795,0.16425668528257067,6.088032266569246,False
medium_term_alpha\Results\sample_prices.csv,2023-11-30,AAPL,0.0,0.06572773927339164,0.19074130084607993,5.242703051537628,False
medium_term_alpha\Results\sample_prices.csv,2023-11-30,MSFT,0.06,1.1060728108671023,0.2176240419719247,4.595080538615344,True
medium_term_alpha\Results\sample_prices.csv,2023-11-30,AMZN,0.0,0.6241933515218923,0.32967392564879433,3.0333002466968293,False
medium_term_alpha\Results\sample_prices.csv,2023-11-30,GOOGL,0.0,-1.0448900672792873,0.2799025680784523,3.5726717581230467,False
medium_term_alpha\Results\sample_prices.csv,2023-11-30,NVDA,0.06,1.0268689071887673,0.3386855016295491,2.95259169698321,True
medium_term_alpha\Results\sample_prices.csv,2023-11-30,JPM,0.0,-0.004953595644874148,0.15612385109954743,6.405171233973608,False
medium_term_alpha\Results\sample_prices.csv,2023-11-30,XOM,0.0,-1.7988109135288834,0.24540075783625123,4.07496704092198,False
medium_term_alpha\Results\sample_prices.csv,2023-11-30,UNH,0.0,0.0257917676018915,0.15648093430345753,6.390554890608833,False
medium_term_alpha\Results\sample_prices.csv,2023-12-29,AAPL,0.0,0.22379114079723014,0.15595541738986402,6.412088895252399,False
medium_term_alpha\Results\sample_prices.csv,2023-12-29,MSFT,0.0,0.40217816308385995,0.20459309943348275,4.887750382437115,False
medium_term_alpha\Results\sample_prices.csv,2023-12-29,AMZN,0.0,0.8364500940181944,0.29212777176194904,3.4231596467825267,False
medium_term_alpha\Results\sample_prices.csv,2023-12-29,GOOGL,0.0,-0.22577498909514251,0.2926383152925375,3.4171875237880065,False
medium_term_alpha\Results\sample_prices.csv,2023-12-29,NVDA,0.0,0.12273151789623746,0.33475109129549163,2.987294219504962,False
medium_term_alpha\Results\sample_prices.csv,2023-12-29,JPM,0.06,1.3005720183323284,0.14721157746746724,6.792943987173789,True
medium_term_alpha\Results\sample_prices.csv,2023-12-29,XOM,0.0,-1.9597894254306207,0.22960962617730116,4.355218100602693,False
medium_term_alpha\Results\sample_prices.csv,2023-12-29,UNH,0.0,-0.700158519602087,0.1519466056812368,6.581259222715795,False
medium_term_alpha\Results\sample_prices.csv,2024-01-31,AAPL,0.0,-0.12081401219832492,0.18628627440781553,5.36808201881161,False
medium_term_alpha\Results\sample_prices.csv,2024-01-31,MSFT,0.0,0.3822204949260903,0.1697063498136434,5.892531429131037,False
medium_term_alpha\Results\sample_prices.csv,2024-01-31,AMZN,0.0,-0.10811054965715002,0.20364295600405036,4.910555315157135,False
medium_term_alpha\Results\sample_prices.csv,2024-01-31,GOOGL,0.0,-0.18064800774561202,0.25669487101120725,3.8956758117552734,False
medium_term_alpha\Results\sample_prices.csv,2024-01-31,NVDA,0.06,2.0866272300407784,0.3043935593320503,3.2852206275138083,True
medium_term_alpha\Results\sample_prices.csv,2024-01-31,JPM,0.0,0.13398319443322787,0.12215220698551386,8.186507838688422,False
medium_term_alpha\Results\sample_prices.csv,2024-01-31,XOM,0.0,-1.191059270858493,0.19812835454250288,5.047233155037777,False
medium_term_alpha\Results\sample_prices.csv,2024-01-31,UNH,0.0,-1.0021990789405162,0.19235084594564264,5.198833387416424,False
medium_term_alpha\Results\sample_prices.csv,2024-02-29,AAPL,0.0,-1.0109282882975092,0.17377921125683152,5.7544282355044265,False
medium_term_alpha\Results\sample_prices.csv,2024-02-29,MSFT,0.0,0.014487766514754568,0.17107252522140165,5.84547400996041,False
medium_term_alpha\Results\sample_prices.csv,2024-02-29,AMZN,0.0,0.07604820044532912,0.26155871923606755,3.823233279780127,False
medium_term_alpha\Results\sample_prices.csv,2024-02-29,GOOGL,0.0,-0.7772411844968395,0.2774034995700975,3.604857190157071,False
medium_term_alpha\Results\sample_prices.csv,2024-02-29,NVDA,0.06,2.112696927901134,0.4610656252752821,2.168888646606313,True
medium_term_alpha\Results\sample_prices.csv,2024-02-29,JPM,0.0,0.5748504627711805,0.12012328460088485,8.324780689460383,False
medium_term_alpha\Results\sample_prices.csv,2024-02-29,XOM,0.0,-0.2899925559227984,0.19364962950758535,5.163965469713586,False
medium_term_alpha\Results\sample_prices.csv,2024-02-29,UNH,0.0,-0.6999213289152508,0.2085985164287399,4.7938979486539814,False
medium_term_alpha\Results\sample_prices.csv,2024-03-28,AAPL,0.0,-0.8496983629265402,0.20704572134243882,4.829851075966316,False
medium_term_alpha\Results\sample_prices.csv,2024-03-28,MSFT,0.0,0.03579278939531857,0.1896703381216865,5.272305674693486,False
medium_term_alpha\Results\sample_prices.csv,2024-03-28,AMZN,0.0,-0.34110010561835064,0.2636415396186455,3.7930289796004404,False
medium_term_alpha\Results\sample_prices.csv,2024-03-28,GOOGL,0.0,-0.6194018649663339,0.2759032294937479,3.6244592056239795,False
