source_dataset,rebalance_date,selected_tickers,number_of_positions,gross_exposure,turnover,estimated_trading_cost,regime_scale,top_signal_ticker,top_signal_value
medium_term_alpha\Results\sample_prices.csv,2023-07-31,NVDA,1,0.06,0.06,3e-05,1.0,NVDA,2.219155533528668
medium_term_alpha\Results\sample_prices.csv,2023-08-31,NVDA,1,0.06,0.0,0.0,1.0,NVDA,2.203451618768661
medium_term_alpha\Results\sample_prices.csv,2023-09-29,XOM,1,0.06,0.12,6e-05,1.0,XOM,1.8756398377438848
medium_term_alpha\Results\sample_prices.csv,2023-10-31,GOOGL;NVDA,2,0.12,0.18,8.999999999999999e-05,1.0,NVDA,1.4276691528485506
medium_term_alpha\Results\sample_prices.csv,2023-11-30,MSFT;NVDA,2,0.12,0.12,6e-05,1.0,MSFT,1.1060728108671023
medium_term_alpha\Results\sample_prices.csv,2023-12-29,JPM,1,0.06,0.18,8.999999999999999e-05,1.0,JPM,1.3005720183323284
medium_term_alpha\Results\sample_prices.csv,2024-01-31,NVDA,1,0.06,0.12,6e-05,1.0,NVDA,2.0866272300407784
medium_term_alpha\Results\sample_prices.csv,2024-02-29,NVDA,1,0.06,0.0,0.0,1.0,NVDA,2.112696927901134
medium_term_alpha\Results\sample_prices.csv,2024-03-28,NVDA,1,0.06,0.0,0.0,1.0,NVDA,2.1756172584026747
medium_term_alpha\Results\sample_prices.csv,2024-04-30,NVDA,1,0.06,0.0,0.0,1.0,NVDA,1.3977947815407734
medium_term_alpha\Results\sample_prices.csv,2024-05-31,NVDA,1,0.06,0.0,0.0,1.0,NVDA,2.3407147532877985
medium_term_alpha\Results\sample_prices.csv,2024-06-28,NVDA,1,0.06,0.0,0.0,1.0,NVDA,2.2600625835916106
medium_term_alpha\Results\sample_prices.csv,2024-07-31,NVDA,1,0.06,0.0,0.0,1.0,NVDA,1.9912037171592392
medium_term_alpha\Results\sample_prices.csv,2024-08-30,NVDA,1,0.06,0.0,0.0,0.4,NVDA,1.9097659562137028
medium_term_alpha\Results\sample_prices.csv,2024-09-30,AAPL;AMZN,2,0.12,0.18,8.999999999999999e-05,0.4,AAPL,1.2882079092573673
medium_term_alpha\Results\sample_prices.csv,2024-10-31,NVDA,1,0.06,0.18,8.999999999999999e-05,0.4,NVDA,2.0525822635391773
medium_term_alpha\Results\sample_prices.csv,2024-11-29,NVDA;JPM,2,0.12,0.06,3e-05,1.0,NVDA,1.3236640242666902
medium_term_alpha\Results\sample_prices.csv,2024-12-30,AAPL;AMZN,2,0.12,0.24,0.00012,1.0,AAPL,1.146251250087595
