metric,value
total_return,3.224097650618349
annualized_return,0.18903734779582293
annualized_sharpe,1.4505055872480355
max_drawdown,-0.15642010900908432
daily_volatility,0.007859982272225148
annualized_volatility,0.12477335041010476
average_rebalance_turnover,0.5999168139973604
gross_total_return,3.344662112786703
net_total_return,3.224097650618349
cost_impact_on_returns,0.12056446216835415
total_trading_cost,0.028196090257875943
average_turnover,0.5999168139973604
long_total_return,3.344662112786703
short_total_return,0.0
cost_per_turnover_bps,5.0
momentum_weight,1.0
low_vol_weight,0.0
momentum_skip_recent_days,5.0
beta_neutralization_strength,0.0
negative_trend_scale,0.4
high_volatility_scale,0.4
short_quantile,0.1
short_exposure_fraction,0.0
min_signal_strength,0.85
use_multi_signal,1.0
multi_momentum_weight,0.55
mean_reversion_weight,0.25
quality_weight,0.2
rebalance_count,95.0
